onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.327	0.5	28	2	2.0	361	1	Prac	1	1.0	1	41888	7.0	n/a	35561	2	n/a	6.327	0.5	6.0	52.9	58.9	7.1
6.941	0.5	28	1	1.0	355	1	Prac	1	1.0	2	42502	1.0	n/a	35561	2	n/a	6.941	0.5	6.0	52.9	58.9	7.1
7.571	0.5	28	3	3.0	407	1	Prac	1	1.0	3	43132	11.0	n/a	35561	2	n/a	7.571	0.5	6.0	52.9	58.9	7.1
8.184	0.5	28	1	1.0	325	1	Prac	1	1.0	4	43745	4.0	n/a	35561	2	n/a	8.184	0.5	6.0	52.9	58.9	7.1
8.814	0.5	28	4	4.0	321	1	Prac	1	1.0	5	44375	14.0	n/a	35561	2	n/a	8.814	0.5	6.0	52.9	58.9	7.1
9.428	0.5	28	1	1.0	329	1	P	1	1.0	6	44989	n/a	8.0	35561	2	n/a	9.428	0.5	6.0	52.9	58.9	7.1
10.041	0.5	28	1	1.0	319	1	R	1	1.0	7	45602	1.0	n/a	35561	2	n/a	10.041	0.5	6.0	52.9	58.9	7.1
10.671	0.5	28	3	4.0	313	0	P	1	1.0	8	46232	n/a	11.0	35561	2	PatternHigh	10.671	0.5	6.0	52.9	58.9	7.1
11.284	0.5	28	1	1.0	370	1	R	1	1.0	9	46845	4.0	n/a	35561	2	RandomLow	11.284	0.5	6.0	52.9	58.9	7.1
11.914	0.5	28	4	4.0	350	1	P	1	1.0	10	47475	n/a	14.0	35561	2	PatternHigh	11.914	0.5	6.0	52.9	58.9	7.1
12.528	0.5	28	1	1.0	306	1	R	1	1.0	11	48089	8.0	n/a	35561	2	RandomLow	12.528	0.5	6.0	52.9	58.9	7.1
13.141	0.5	28	2	2.0	332	1	P	1	1.0	12	48702	n/a	1.0	35561	2	PatternHigh	13.141	0.5	6.0	52.9	58.9	7.1
13.771	0.5	28	2	2.0	327	1	R	1	1.0	13	49332	11.0	n/a	35561	2	RandomLow	13.771	0.5	6.0	52.9	58.9	7.1
14.385	0.5	28	1	1.0	331	1	P	1	1.0	14	49946	n/a	5.0	35561	2	PatternHigh	14.385	0.5	6.0	52.9	58.9	7.1
15.015	0.5	28	4	4.0	313	1	R	1	1.0	15	50576	15.0	n/a	35561	2	RandomLow	15.015	0.5	6.0	52.9	58.9	7.1
15.628	0.5	28	3	4.0	329	0	P	1	1.0	16	51189	n/a	8.0	35561	2	PatternHigh	15.628	0.5	6.0	52.9	58.9	7.1
16.242	0.5	28	2	2.0	331	1	R	1	1.0	17	51803	2.0	n/a	35561	2	RandomHigh	16.242	0.5	6.0	52.9	58.9	7.1
16.872	0.5	28	4	4.0	304	1	P	1	1.0	18	52433	n/a	12.0	35561	2	PatternHigh	16.872	0.5	6.0	52.9	58.9	7.1
17.485	0.5	28	1	1.0	288	1	R	1	1.0	19	53046	5.0	n/a	35561	2	RandomHigh	17.485	0.5	6.0	52.9	58.9	7.1
18.115	0.5	28	2	2.0	301	1	P	1	1.0	20	53676	n/a	15.0	35561	2	PatternHigh	18.115	0.5	6.0	52.9	58.9	7.1
18.728	0.5	28	3	3.0	342	1	R	1	1.0	21	54289	8.0	n/a	35561	2	RandomHigh	18.728	0.5	6.0	52.9	58.9	7.1
19.342	0.5	28	1	1.0	295	1	P	1	1.0	22	54903	n/a	2.0	35561	2	PatternHigh	19.342	0.5	6.0	52.9	58.9	7.1
19.972	0.5	28	3	3.0	304	1	R	1	1.0	23	55533	12.0	n/a	35561	2	RandomLow	19.972	0.5	6.0	52.9	58.9	7.1
20.585	0.5	28	3	3.0	334	1	P	1	1.0	24	56146	n/a	5.0	35561	2	PatternHigh	20.585	0.5	6.0	52.9	58.9	7.1
21.215	0.5	28	1	1.0	324	1	R	1	1.0	25	56776	15.0	n/a	35561	2	RandomLow	21.215	0.5	6.0	52.9	58.9	7.1
21.829	0.5	28	4	4.0	363	1	P	1	1.0	26	57390	n/a	9.0	35561	2	PatternHigh	21.829	0.5	6.0	52.9	58.9	7.1
22.442	0.5	28	4	4.0	323	1	R	1	1.0	27	58003	2.0	n/a	35561	2	RandomLow	22.442	0.5	6.0	52.9	58.9	7.1
23.072	0.5	28	2	2.0	328	1	P	1	1.0	28	58633	n/a	12.0	35561	2	PatternHigh	23.072	0.5	6.0	52.9	58.9	7.1
23.686	0.5	28	1	1.0	302	1	R	1	1.0	29	59247	6.0	n/a	35561	2	RandomLow	23.686	0.5	6.0	52.9	58.9	7.1
24.316	0.5	28	1	1.0	312	1	P	1	1.0	30	59877	n/a	16.0	35561	2	PatternHigh	24.316	0.5	6.0	52.9	58.9	7.1
24.929	0.5	28	1	1.0	291	1	R	1	1.0	31	60490	9.0	n/a	35561	2	RandomLow	24.929	0.5	6.0	52.9	58.9	7.1
25.543	0.5	28	3	3.0	311	1	P	1	1.0	32	61104	n/a	3.0	35561	2	PatternHigh	25.543	0.5	6.0	52.9	58.9	7.1
26.173	0.5	28	3	3.0	343	1	R	1	1.0	33	61734	13.0	n/a	35561	2	RandomHigh	26.173	0.5	6.0	52.9	58.9	7.1
26.786	0.5	28	4	4.0	377	1	P	1	1.0	34	62347	n/a	6.0	35561	2	PatternHigh	26.786	0.5	6.0	52.9	58.9	7.1
27.416	0.5	28	3	3.0	380	1	R	1	1.0	35	62977	16.0	n/a	35561	2	RandomLow	27.416	0.5	6.0	52.9	58.9	7.1
28.029	0.5	28	2	2.0	335	1	P	1	1.0	36	63590	n/a	9.0	35561	2	PatternHigh	28.029	0.5	6.0	52.9	58.9	7.1
28.643	0.5	28	4	4.0	323	1	R	1	1.0	37	64204	3.0	n/a	35561	2	RandomHigh	28.643	0.5	6.0	52.9	58.9	7.1
29.273	0.5	28	1	1.0	319	1	P	1	1.0	38	64834	n/a	13.0	35561	2	PatternHigh	29.273	0.5	6.0	52.9	58.9	7.1
29.886	0.5	28	1	1.0	301	1	R	1	1.0	39	65447	6.0	n/a	35561	2	RandomLow	29.886	0.5	6.0	52.9	58.9	7.1
30.5	0.5	28	3	3.0	283	1	P	1	1.0	40	66061	n/a	0.0	35561	2	PatternHigh	30.5	0.5	6.0	52.9	58.9	7.1
31.13	0.5	28	3	3.0	251	1	R	1	1.0	41	66691	10.0	n/a	35561	2	RandomHigh	31.13	0.5	6.0	52.9	58.9	7.1
31.743	0.5	28	4	3.0	281	0	P	1	1.0	42	67304	n/a	3.0	35561	2	PatternHigh	31.743	0.5	6.0	52.9	58.9	7.1
32.373	0.5	28	1	1.0	303	1	R	1	1.0	43	67934	13.0	n/a	35561	2	RandomLow	32.373	0.5	6.0	52.9	58.9	7.1
32.987	0.5	28	2	2.0	324	1	P	1	1.0	44	68548	n/a	7.0	35561	2	PatternHigh	32.987	0.5	6.0	52.9	58.9	7.1
