onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.321	0.5	9	2	2.0	361	1	Prac	1	1.0	1	45848	9.0	n/a	39527	2	n/a	6.321	0.5	6.0	52.9	58.9	7.1
6.935	0.5	9	3	3.0	329	1	Prac	1	1.0	2	46462	3.0	n/a	39527	2	n/a	6.935	0.5	6.0	52.9	58.9	7.1
7.565	0.5	9	3	3.0	283	1	Prac	1	1.0	3	47092	13.0	n/a	39527	2	n/a	7.565	0.5	6.0	52.9	58.9	7.1
8.178	0.5	9	3	3.0	290	1	Prac	1	1.0	4	47705	6.0	n/a	39527	2	n/a	8.178	0.5	6.0	52.9	58.9	7.1
8.808	0.5	9	4	4.0	336	1	Prac	1	1.0	5	48335	16.0	n/a	39527	2	n/a	8.808	0.5	6.0	52.9	58.9	7.1
9.421	0.5	9	2	2.0	307	1	P	1	1.0	6	48948	n/a	9.0	39527	2	n/a	9.421	0.5	6.0	52.9	58.9	7.1
10.035	0.5	9	4	4.0	314	1	R	1	1.0	7	49562	3.0	n/a	39527	2	n/a	10.035	0.5	6.0	52.9	58.9	7.1
10.665	0.5	9	3	3.0	319	1	P	1	1.0	8	50192	n/a	13.0	39527	2	PatternHigh	10.665	0.5	6.0	52.9	58.9	7.1
11.278	0.5	9	1	1.0	303	1	R	1	1.0	9	50805	6.0	n/a	39527	2	RandomLow	11.278	0.5	6.0	52.9	58.9	7.1
11.892	0.5	9	1	1.0	444	1	P	1	1.0	10	51419	n/a	0.0	39527	2	PatternHigh	11.892	0.5	6.0	52.9	58.9	7.1
12.522	0.5	9	2	2.0	312	1	R	1	1.0	11	52049	10.0	n/a	39527	2	RandomLow	12.522	0.5	6.0	52.9	58.9	7.1
13.135	0.5	9	4	4.0	338	1	P	1	1.0	12	52662	n/a	3.0	39527	2	PatternHigh	13.135	0.5	6.0	52.9	58.9	7.1
13.765	0.5	9	2	2.0	279	1	R	1	1.0	13	53292	13.0	n/a	39527	2	RandomLow	13.765	0.5	6.0	52.9	58.9	7.1
14.379	0.5	9	2	2.0	297	1	P	1	1.0	14	53906	n/a	7.0	39527	2	PatternHigh	14.379	0.5	6.0	52.9	58.9	7.1
14.992	0.5	9	1	1.0	290	1	R	1	1.0	15	54519	0.0	n/a	39527	2	RandomLow	14.992	0.5	6.0	52.9	58.9	7.1
15.622	0.5	9	3	3.0	293	1	P	1	1.0	16	55149	n/a	10.0	39527	2	PatternHigh	15.622	0.5	6.0	52.9	58.9	7.1
16.236	0.5	9	3	3.0	305	1	R	1	1.0	17	55763	4.0	n/a	39527	2	RandomLow	16.236	0.5	6.0	52.9	58.9	7.1
16.866	0.5	9	1	1.0	310	1	P	1	1.0	18	56393	n/a	14.0	39527	2	PatternHigh	16.866	0.5	6.0	52.9	58.9	7.1
17.479	0.5	9	3	3.0	311	1	R	1	1.0	19	57006	7.0	n/a	39527	2	RandomLow	17.479	0.5	6.0	52.9	58.9	7.1
18.092	0.5	9	4	4.0	328	1	P	1	1.0	20	57619	n/a	0.0	39527	2	PatternHigh	18.092	0.5	6.0	52.9	58.9	7.1
18.722	0.5	9	4	4.0	291	1	R	1	1.0	21	58249	10.0	n/a	39527	2	RandomLow	18.722	0.5	6.0	52.9	58.9	7.1
