onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.321	0.5	6	1	1.0	374	1	Prac	1	1.0	1	74615	1.0	n/a	68294	2	n/a	6.321	0.5	6.0	52.9	58.9	7.1
6.951	0.5	6	4	4.0	374	1	Prac	1	1.0	2	75245	11.0	n/a	68294	2	n/a	6.951	0.5	6.0	52.9	58.9	7.1
7.565	0.5	6	2	2.0	313	1	Prac	1	1.0	3	75859	5.0	n/a	68294	2	n/a	7.565	0.5	6.0	52.9	58.9	7.1
8.195	0.5	6	3	3.0	375	1	Prac	1	1.0	4	76489	15.0	n/a	68294	2	n/a	8.195	0.5	6.0	52.9	58.9	7.1
8.808	0.5	6	1	1.0	326	1	Prac	1	1.0	5	77102	8.0	n/a	68294	2	n/a	8.808	0.5	6.0	52.9	58.9	7.1
9.421	0.5	6	1	1.0	305	1	P	1	1.0	6	77715	n/a	1.0	68294	2	n/a	9.421	0.5	6.0	52.9	58.9	7.1
10.051	0.5	6	4	4.0	383	1	R	1	1.0	7	78345	11.0	n/a	68294	2	n/a	10.051	0.5	6.0	52.9	58.9	7.1
10.665	0.5	6	4	4.0	399	1	P	1	1.0	8	78959	n/a	5.0	68294	2	PatternHigh	10.665	0.5	6.0	52.9	58.9	7.1
11.295	0.5	6	2	2.0	316	1	R	1	1.0	9	79589	15.0	n/a	68294	2	RandomLow	11.295	0.5	6.0	52.9	58.9	7.1
11.908	0.5	6	3	3.0	297	1	P	1	1.0	10	80202	n/a	8.0	68294	2	PatternHigh	11.908	0.5	6.0	52.9	58.9	7.1
12.522	0.5	6	3	3.0	269	1	R	1	1.0	11	80816	2.0	n/a	68294	2	RandomLow	12.522	0.5	6.0	52.9	58.9	7.1
13.152	0.5	6	2	1.0	333	0	P	1	1.0	12	81446	n/a	12.0	68294	2	PatternHigh	13.152	0.5	6.0	52.9	58.9	7.1
13.765	0.5	6	1	1.0	326	1	R	1	1.0	13	82059	5.0	n/a	68294	2	RandomLow	13.765	0.5	6.0	52.9	58.9	7.1
14.395	0.5	6	1	1.0	374	1	P	1	1.0	14	82689	n/a	15.0	68294	2	PatternHigh	14.395	0.5	6.0	52.9	58.9	7.1
15.009	0.5	6	4	4.0	443	1	R	1	1.0	15	83303	9.0	n/a	68294	2	RandomHigh	15.009	0.5	6.0	52.9	58.9	7.1
15.622	0.5	6	4	4.0	342	1	P	1	1.0	16	83916	n/a	2.0	68294	2	PatternHigh	15.622	0.5	6.0	52.9	58.9	7.1
16.252	0.5	6	2	2.0	340	1	R	1	1.0	17	84546	12.0	n/a	68294	2	RandomLow	16.252	0.5	6.0	52.9	58.9	7.1
16.865	0.5	6	3	2.0	244	0	P	1	1.0	18	85159	n/a	5.0	68294	2	PatternHigh	16.865	0.5	6.0	52.9	58.9	7.1
17.496	0.5	6	1	1.0	341	1	R	1	1.0	19	85790	16.0	n/a	68294	2	RandomHigh	17.496	0.5	6.0	52.9	58.9	7.1
18.109	0.5	6	2	2.0	365	1	P	1	1.0	20	86403	n/a	9.0	68294	2	PatternHigh	18.109	0.5	6.0	52.9	58.9	7.1
18.722	0.5	6	4	4.0	399	1	R	1	1.0	21	87016	2.0	n/a	68294	2	RandomHigh	18.722	0.5	6.0	52.9	58.9	7.1
19.352	0.5	6	1	1.0	341	1	P	1	1.0	22	87646	n/a	12.0	68294	2	PatternHigh	19.352	0.5	6.0	52.9	58.9	7.1
19.966	0.5	6	3	3.0	316	1	R	1	1.0	23	88260	6.0	n/a	68294	2	RandomHigh	19.966	0.5	6.0	52.9	58.9	7.1
20.596	0.5	6	4	4.0	346	1	P	1	1.0	24	88890	n/a	16.0	68294	2	PatternHigh	20.596	0.5	6.0	52.9	58.9	7.1
21.209	0.5	6	3	3.0	354	1	R	1	1.0	25	89503	9.0	n/a	68294	2	RandomLow	21.209	0.5	6.0	52.9	58.9	7.1
21.823	0.5	6	3	3.0	341	1	P	1	1.0	26	90117	n/a	3.0	68294	2	PatternHigh	21.823	0.5	6.0	52.9	58.9	7.1
22.453	0.5	6	4	4.0	381	1	R	1	1.0	27	90747	13.0	n/a	68294	2	RandomLow	22.453	0.5	6.0	52.9	58.9	7.1
23.066	0.5	6	2	2.0	432	1	P	1	1.0	28	91360	n/a	6.0	68294	2	PatternHigh	23.066	0.5	6.0	52.9	58.9	7.1
23.68	0.5	6	2	2.0	327	1	R	1	1.0	29	91974	0.0	n/a	68294	2	RandomLow	23.68	0.5	6.0	52.9	58.9	7.1
24.31	0.5	6	1	1.0	296	1	P	1	1.0	30	92604	n/a	10.0	68294	2	PatternHigh	24.31	0.5	6.0	52.9	58.9	7.1
24.923	0.5	6	4	4.0	372	1	R	1	1.0	31	93217	3.0	n/a	68294	2	RandomLow	24.923	0.5	6.0	52.9	58.9	7.1
25.553	0.5	6	4	4.0	300	1	P	1	1.0	32	93847	n/a	13.0	68294	2	PatternHigh	25.553	0.5	6.0	52.9	58.9	7.1
26.166	0.5	6	4	4.0	315	1	R	1	1.0	33	94460	6.0	n/a	68294	2	RandomLow	26.166	0.5	6.0	52.9	58.9	7.1
26.78	0.5	6	3	3.0	358	1	P	1	1.0	34	95074	n/a	0.0	68294	2	PatternHigh	26.78	0.5	6.0	52.9	58.9	7.1
27.41	0.5	6	4	4.0	412	1	R	1	1.0	35	95704	10.0	n/a	68294	2	RandomLow	27.41	0.5	6.0	52.9	58.9	7.1
28.023	0.5	6	2	2.0	327	1	P	1	1.0	36	96317	n/a	3.0	68294	2	PatternHigh	28.023	0.5	6.0	52.9	58.9	7.1
28.653	0.5	6	1	1.0	326	1	R	1	1.0	37	96947	13.0	n/a	68294	2	RandomLow	28.653	0.5	6.0	52.9	58.9	7.1
29.267	0.5	6	1	1.0	305	1	P	1	1.0	38	97561	n/a	7.0	68294	2	PatternHigh	29.267	0.5	6.0	52.9	58.9	7.1
29.88	0.5	6	2	2.0	499	1	R	1	1.0	39	98174	0.0	n/a	68294	2	RandomLow	29.88	0.5	6.0	52.9	58.9	7.1
30.51	0.5	6	4	4.0	368	1	P	1	1.0	40	98804	n/a	10.0	68294	2	PatternHigh	30.51	0.5	6.0	52.9	58.9	7.1
31.124	0.5	6	3	3.0	372	1	R	1	1.0	41	99418	4.0	n/a	68294	2	RandomLow	31.124	0.5	6.0	52.9	58.9	7.1
31.754	0.5	6	3	3.0	336	1	P	1	1.0	42	100048	n/a	14.0	68294	2	PatternHigh	31.754	0.5	6.0	52.9	58.9	7.1
32.367	0.5	6	1	1.0	323	1	R	1	1.0	43	100661	7.0	n/a	68294	2	RandomLow	32.367	0.5	6.0	52.9	58.9	7.1
32.98	0.5	6	2	2.0	312	1	P	1	1.0	44	101274	n/a	0.0	68294	2	PatternHigh	32.98	0.5	6.0	52.9	58.9	7.1
33.61	0.5	6	3	3.0	291	1	R	1	1.0	45	101904	10.0	n/a	68294	2	RandomLow	33.61	0.5	6.0	52.9	58.9	7.1
34.224	0.5	6	1	1.0	323	1	P	1	1.0	46	102518	n/a	4.0	68294	2	PatternHigh	34.224	0.5	6.0	52.9	58.9	7.1
34.854	0.5	6	3	3.0	308	1	R	1	1.0	47	103148	14.0	n/a	68294	2	RandomLow	34.854	0.5	6.0	52.9	58.9	7.1
35.467	0.5	6	4	4.0	330	1	P	1	1.0	48	103761	n/a	7.0	68294	2	PatternHigh	35.467	0.5	6.0	52.9	58.9	7.1
36.081	0.5	6	3	3.0	327	1	R	1	1.0	49	104375	1.0	n/a	68294	2	RandomLow	36.081	0.5	6.0	52.9	58.9	7.1
36.711	0.5	6	3	3.0	302	1	P	1	1.0	50	105005	n/a	11.0	68294	2	PatternHigh	36.711	0.5	6.0	52.9	58.9	7.1
37.324	0.5	6	4	4.0	340	1	R	1	1.0	51	105618	4.0	n/a	68294	2	RandomLow	37.324	0.5	6.0	52.9	58.9	7.1
37.954	0.5	6	2	2.0	352	1	P	1	1.0	52	106248	n/a	14.0	68294	2	PatternHigh	37.954	0.5	6.0	52.9	58.9	7.1
38.568	0.5	6	3	3.0	356	1	R	1	1.0	53	106862	8.0	n/a	68294	2	RandomHigh	38.568	0.5	6.0	52.9	58.9	7.1
39.181	0.5	6	1	1.0	293	1	P	1	1.0	54	107475	n/a	1.0	68294	2	PatternHigh	39.181	0.5	6.0	52.9	58.9	7.1
39.811	0.5	6	4	4.0	358	1	R	1	1.0	55	108105	11.0	n/a	68294	2	RandomLow	39.811	0.5	6.0	52.9	58.9	7.1
40.425	0.5	6	4	4.0	329	1	P	1	1.0	56	108719	n/a	5.0	68294	2	PatternHigh	40.425	0.5	6.0	52.9	58.9	7.1
41.055	0.5	6	3	3.0	315	1	R	1	1.0	57	109349	15.0	n/a	68294	2	RandomHigh	41.055	0.5	6.0	52.9	58.9	7.1
41.668	0.5	6	3	3.0	295	1	P	1	1.0	58	109962	n/a	8.0	68294	2	PatternHigh	41.668	0.5	6.0	52.9	58.9	7.1
42.281	0.5	6	4	4.0	363	1	R	1	1.0	59	110575	1.0	n/a	68294	2	RandomLow	42.281	0.5	6.0	52.9	58.9	7.1
42.911	0.5	6	2	2.0	331	1	P	1	1.0	60	111205	n/a	11.0	68294	2	PatternHigh	42.911	0.5	6.0	52.9	58.9	7.1
43.525	0.5	6	3	3.0	371	1	R	1	1.0	61	111819	5.0	n/a	68294	2	RandomHigh	43.525	0.5	6.0	52.9	58.9	7.1
44.155	0.5	6	1	1.0	322	1	P	1	1.0	62	112449	n/a	15.0	68294	2	PatternHigh	44.155	0.5	6.0	52.9	58.9	7.1
44.768	0.5	6	4	3.0	343	0	R	1	1.0	63	113062	8.0	n/a	68294	2	RandomLow	44.768	0.5	6.0	52.9	58.9	7.1
45.382	0.5	6	4	4.0	388	1	P	1	1.0	64	113676	n/a	2.0	68294	2	PatternHigh	45.382	0.5	6.0	52.9	58.9	7.1
46.012	0.5	6	1	1.0	340	1	R	1	1.0	65	114306	12.0	n/a	68294	2	RandomLow	46.012	0.5	6.0	52.9	58.9	7.1
46.625	0.5	6	3	3.0	411	1	P	1	1.0	66	114919	n/a	5.0	68294	2	PatternHigh	46.625	0.5	6.0	52.9	58.9	7.1
47.255	0.5	6	2	n/a	0	0	R	1	1.0	67	115549	15.0	n/a	68294	2	RandomLow	47.255	0.5	6.0	52.9	58.9	7.1
47.869	0.5	6	2	2.0	350	1	P	1	1.0	68	116163	n/a	9.0	68294	2	PatternHigh	47.869	0.5	6.0	52.9	58.9	7.1
48.482	0.5	6	4	4.0	332	1	R	1	1.0	69	116776	2.0	n/a	68294	2	RandomLow	48.482	0.5	6.0	52.9	58.9	7.1
49.112	0.5	6	1	1.0	322	1	P	1	1.0	70	117406	n/a	12.0	68294	2	PatternHigh	49.112	0.5	6.0	52.9	58.9	7.1
49.725	0.5	6	2	2.0	368	1	R	1	1.0	71	118019	5.0	n/a	68294	2	RandomLow	49.725	0.5	6.0	52.9	58.9	7.1
50.355	0.5	6	4	4.0	347	1	P	1	1.0	72	118649	n/a	15.0	68294	2	PatternHigh	50.355	0.5	6.0	52.9	58.9	7.1
50.969	0.5	6	3	3.0	368	1	R	1	1.0	73	119263	9.0	n/a	68294	2	RandomLow	50.969	0.5	6.0	52.9	58.9	7.1
51.582	0.5	6	3	3.0	328	1	P	1	1.0	74	119876	n/a	2.0	68294	2	PatternHigh	51.582	0.5	6.0	52.9	58.9	7.1
52.212	0.5	6	3	3.0	330	1	R	1	1.0	75	120506	12.0	n/a	68294	2	RandomLow	52.212	0.5	6.0	52.9	58.9	7.1
52.826	0.5	6	2	2.0	284	1	P	1	1.0	76	121120	n/a	6.0	68294	2	PatternHigh	52.826	0.5	6.0	52.9	58.9	7.1
53.456	0.5	6	1	1.0	321	1	R	1	1.0	77	121750	16.0	n/a	68294	2	RandomLow	53.456	0.5	6.0	52.9	58.9	7.1
54.069	0.5	6	1	1.0	352	1	P	1	1.0	78	122363	n/a	9.0	68294	2	PatternHigh	54.069	0.5	6.0	52.9	58.9	7.1
54.683	0.5	6	4	4.0	370	1	R	1	1.0	79	122977	3.0	n/a	68294	2	RandomHigh	54.683	0.5	6.0	52.9	58.9	7.1
55.313	0.5	6	4	4.0	358	1	P	1	1.0	80	123607	n/a	13.0	68294	2	PatternHigh	55.313	0.5	6.0	52.9	58.9	7.1
55.926	0.5	6	3	3.0	366	1	R	1	1.0	81	124220	6.0	n/a	68294	2	RandomHigh	55.926	0.5	6.0	52.9	58.9	7.1
56.54	0.5	6	3	3.0	230	1	P	1	1.0	82	124834	n/a	0.0	68294	2	PatternHigh	56.54	0.5	6.0	52.9	58.9	7.1
57.17	0.5	6	4	4.0	392	1	R	1	1.0	83	125464	10.0	n/a	68294	2	RandomLow	57.17	0.5	6.0	52.9	58.9	7.1
57.783	0.5	6	2	1.0	291	0	P	1	1.0	84	126077	n/a	3.0	68294	2	PatternHigh	57.783	0.5	6.0	52.9	58.9	7.1
58.413	0.5	6	1	1.0	319	1	R	1	1.0	85	126707	13.0	n/a	68294	2	RandomLow	58.413	0.5	6.0	52.9	58.9	7.1
66.321	0.5	6	1	1.0	335	1	Prac	2	2.0	1	134615	0.0	n/a	68294	2	n/a	66.321	0.5	66.0	52.9	118.9	7.1
66.951	0.5	6	3	3.0	347	1	Prac	2	2.0	2	135245	10.0	n/a	68294	2	n/a	66.951	0.5	66.0	52.9	118.9	7.1
67.565	0.5	6	2	2.0	329	1	Prac	2	2.0	3	135859	4.0	n/a	68294	2	n/a	67.565	0.5	66.0	52.9	118.9	7.1
68.195	0.5	6	2	2.0	359	1	Prac	2	2.0	4	136489	14.0	n/a	68294	2	n/a	68.195	0.5	66.0	52.9	118.9	7.1
68.808	0.5	6	2	2.0	289	1	Prac	2	2.0	5	137102	7.0	n/a	68294	2	n/a	68.808	0.5	66.0	52.9	118.9	7.1
69.422	0.5	6	1	1.0	296	1	P	2	2.0	6	137716	n/a	1.0	68294	2	n/a	69.422	0.5	66.0	52.9	118.9	7.1
70.052	0.5	6	4	4.0	319	1	R	2	2.0	7	138346	11.0	n/a	68294	2	n/a	70.052	0.5	66.0	52.9	118.9	7.1
70.665	0.5	6	4	4.0	369	1	P	2	2.0	8	138959	n/a	4.0	68294	2	PatternHigh	70.665	0.5	66.0	52.9	118.9	7.1
71.295	0.5	6	2	2.0	292	1	R	2	2.0	9	139589	14.0	n/a	68294	2	RandomLow	71.295	0.5	66.0	52.9	118.9	7.1
71.908	0.5	6	3	3.0	312	1	P	2	2.0	10	140202	n/a	7.0	68294	2	PatternHigh	71.908	0.5	66.0	52.9	118.9	7.1
72.522	0.5	6	4	4.0	338	1	R	2	2.0	11	140816	1.0	n/a	68294	2	RandomLow	72.522	0.5	66.0	52.9	118.9	7.1
73.152	0.5	6	2	1.0	278	0	P	2	2.0	12	141446	n/a	11.0	68294	2	PatternHigh	73.152	0.5	66.0	52.9	118.9	7.1
73.765	0.5	6	4	4.0	387	1	R	2	2.0	13	142059	4.0	n/a	68294	2	RandomLow	73.765	0.5	66.0	52.9	118.9	7.1
74.395	0.5	6	1	1.0	350	1	P	2	2.0	14	142689	n/a	14.0	68294	2	PatternHigh	74.395	0.5	66.0	52.9	118.9	7.1
75.009	0.5	6	3	3.0	344	1	R	2	2.0	15	143303	8.0	n/a	68294	2	RandomHigh	75.009	0.5	66.0	52.9	118.9	7.1
75.622	0.5	6	4	4.0	312	1	P	2	2.0	16	143916	n/a	1.0	68294	2	PatternHigh	75.622	0.5	66.0	52.9	118.9	7.1
76.252	0.5	6	3	3.0	380	1	R	2	2.0	17	144546	11.0	n/a	68294	2	RandomLow	76.252	0.5	66.0	52.9	118.9	7.1
76.866	0.5	6	3	3.0	308	1	P	2	2.0	18	145160	n/a	5.0	68294	2	PatternHigh	76.866	0.5	66.0	52.9	118.9	7.1
77.496	0.5	6	3	3.0	326	1	R	2	2.0	19	145790	15.0	n/a	68294	2	RandomLow	77.496	0.5	66.0	52.9	118.9	7.1
78.109	0.5	6	2	2.0	369	1	P	2	2.0	20	146403	n/a	8.0	68294	2	PatternHigh	78.109	0.5	66.0	52.9	118.9	7.1
78.722	0.5	6	3	3.0	366	1	R	2	2.0	21	147016	1.0	n/a	68294	2	RandomLow	78.722	0.5	66.0	52.9	118.9	7.1
79.353	0.5	6	1	1.0	341	1	P	2	2.0	22	147647	n/a	12.0	68294	2	PatternHigh	79.353	0.5	66.0	52.9	118.9	7.1
79.966	0.5	6	1	1.0	349	1	R	2	2.0	23	148260	5.0	n/a	68294	2	RandomLow	79.966	0.5	66.0	52.9	118.9	7.1
80.596	0.5	6	4	4.0	333	1	P	2	2.0	24	148890	n/a	15.0	68294	2	PatternHigh	80.596	0.5	66.0	52.9	118.9	7.1
81.209	0.5	6	4	4.0	373	1	R	2	2.0	25	149503	8.0	n/a	68294	2	RandomHigh	81.209	0.5	66.0	52.9	118.9	7.1
81.823	0.5	6	3	3.0	345	1	P	2	2.0	26	150117	n/a	2.0	68294	2	PatternHigh	81.823	0.5	66.0	52.9	118.9	7.1
82.453	0.5	6	1	1.0	337	1	R	2	2.0	27	150747	12.0	n/a	68294	2	RandomLow	82.453	0.5	66.0	52.9	118.9	7.1
83.066	0.5	6	2	2.0	318	1	P	2	2.0	28	151360	n/a	5.0	68294	2	PatternHigh	83.066	0.5	66.0	52.9	118.9	7.1
