onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.322	0.5	34	4	4.0	355	1	Prac	1	1.0	1	36983	2.0	n/a	30661	2	n/a	6.322	0.5	6.0	52.9	58.9	7.1
6.952	0.5	34	1	1.0	325	1	Prac	1	1.0	2	37613	12.0	n/a	30661	2	n/a	6.952	0.5	6.0	52.9	58.9	7.1
7.566	0.5	34	2	2.0	368	1	Prac	1	1.0	3	38227	6.0	n/a	30661	2	n/a	7.566	0.5	6.0	52.9	58.9	7.1
8.179	0.5	34	4	4.0	337	1	Prac	1	1.0	4	38840	-1.0	n/a	30661	2	n/a	8.179	0.5	6.0	52.9	58.9	7.1
8.809	0.5	34	4	4.0	306	1	Prac	1	1.0	5	39470	9.0	n/a	30661	2	n/a	8.809	0.5	6.0	52.9	58.9	7.1
9.423	0.5	34	2	4.0	252	0	P	1	1.0	6	40084	n/a	3.0	30661	2	n/a	9.423	0.5	6.0	52.9	58.9	7.1
10.053	0.5	34	4	4.0	334	1	R	1	1.0	7	40714	13.0	n/a	30661	2	n/a	10.053	0.5	6.0	52.9	58.9	7.1
10.666	0.5	34	3	3.0	348	1	P	1	1.0	8	41327	n/a	6.0	30661	2	PatternHigh	10.666	0.5	6.0	52.9	58.9	7.1
11.296	0.5	34	4	4.0	358	1	R	1	1.0	9	41957	16.0	n/a	30661	2	RandomLow	11.296	0.5	6.0	52.9	58.9	7.1
11.909	0.5	34	4	4.0	389	1	P	1	1.0	10	42570	n/a	9.0	30661	2	PatternHigh	11.909	0.5	6.0	52.9	58.9	7.1
12.523	0.5	34	3	3.0	362	1	R	1	1.0	11	43184	3.0	n/a	30661	2	RandomLow	12.523	0.5	6.0	52.9	58.9	7.1
13.153	0.5	34	1	1.0	368	1	P	1	1.0	12	43814	n/a	13.0	30661	2	PatternHigh	13.153	0.5	6.0	52.9	58.9	7.1
13.766	0.5	34	3	3.0	352	1	R	1	1.0	13	44427	6.0	n/a	30661	2	RandomLow	13.766	0.5	6.0	52.9	58.9	7.1
14.38	0.5	34	2	2.0	330	1	P	1	1.0	14	45041	n/a	0.0	30661	2	PatternHigh	14.38	0.5	6.0	52.9	58.9	7.1
15.01	0.5	34	4	4.0	326	1	R	1	1.0	15	45671	10.0	n/a	30661	2	RandomHigh	15.01	0.5	6.0	52.9	58.9	7.1
