onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.323	0.5	10	1	1.0	345	1	Prac	1	1.0	1	42719	2.0	n/a	36396	2	n/a	6.323	0.5	6.0	52.9	58.9	7.1
6.953	0.5	10	2	3.0	312	0	Prac	1	1.0	2	43349	12.0	n/a	36396	2	n/a	6.953	0.5	6.0	52.9	58.9	7.1
7.567	0.5	10	3	3.0	291	1	Prac	1	1.0	3	43963	6.0	n/a	36396	2	n/a	7.567	0.5	6.0	52.9	58.9	7.1
8.197	0.5	10	2	3.0	229	0	Prac	1	1.0	4	44593	16.0	n/a	36396	2	n/a	8.197	0.5	6.0	52.9	58.9	7.1
8.81	0.5	10	2	2.0	313	1	Prac	1	1.0	5	45206	9.0	n/a	36396	2	n/a	8.81	0.5	6.0	52.9	58.9	7.1
9.424	0.5	10	2	2.0	329	1	P	1	1.0	6	45820	n/a	3.0	36396	2	n/a	9.424	0.5	6.0	52.9	58.9	7.1
10.054	0.5	10	1	1.0	291	1	R	1	1.0	7	46450	13.0	n/a	36396	2	n/a	10.054	0.5	6.0	52.9	58.9	7.1
10.667	0.5	10	3	1.0	211	0	P	1	1.0	8	47063	n/a	6.0	36396	2	PatternHigh	10.667	0.5	6.0	52.9	58.9	7.1
11.281	0.5	10	1	1.0	338	1	R	1	1.0	9	47677	0.0	n/a	36396	2	RandomLow	11.281	0.5	6.0	52.9	58.9	7.1
11.911	0.5	10	4	n/a	0	0	P	1	1.0	10	48307	n/a	10.0	36396	2	PatternHigh	11.911	0.5	6.0	52.9	58.9	7.1
12.524	0.5	10	4	4.0	385	1	R	1	1.0	11	48920	3.0	n/a	36396	2	RandomLow	12.524	0.5	6.0	52.9	58.9	7.1
13.154	0.5	10	1	1.0	390	1	P	1	1.0	12	49550	n/a	13.0	36396	2	PatternHigh	13.154	0.5	6.0	52.9	58.9	7.1
13.767	0.5	10	3	3.0	287	1	R	1	1.0	13	50163	6.0	n/a	36396	2	RandomLow	13.767	0.5	6.0	52.9	58.9	7.1
14.381	0.5	10	2	2.0	332	1	P	1	1.0	14	50777	n/a	0.0	36396	2	PatternHigh	14.381	0.5	6.0	52.9	58.9	7.1
15.011	0.5	10	4	4.0	348	1	R	1	1.0	15	51407	10.0	n/a	36396	2	RandomHigh	15.011	0.5	6.0	52.9	58.9	7.1
15.624	0.5	10	3	3.0	305	1	P	1	1.0	16	52020	n/a	3.0	36396	2	PatternHigh	15.624	0.5	6.0	52.9	58.9	7.1
16.254	0.5	10	3	3.0	265	1	R	1	1.0	17	52650	13.0	n/a	36396	2	RandomLow	16.254	0.5	6.0	52.9	58.9	7.1
16.868	0.5	10	4	4.0	393	1	P	1	1.0	18	53264	n/a	7.0	36396	2	PatternHigh	16.868	0.5	6.0	52.9	58.9	7.1
17.481	0.5	10	3	3.0	349	1	R	1	1.0	19	53877	0.0	n/a	36396	2	RandomLow	17.481	0.5	6.0	52.9	58.9	7.1
18.111	0.5	10	1	1.0	393	1	P	1	1.0	20	54507	n/a	10.0	36396	2	PatternHigh	18.111	0.5	6.0	52.9	58.9	7.1
18.725	0.5	10	1	1.0	310	1	R	1	1.0	21	55121	4.0	n/a	36396	2	RandomLow	18.725	0.5	6.0	52.9	58.9	7.1
19.355	0.5	10	2	2.0	333	1	P	1	1.0	22	55751	n/a	14.0	36396	2	PatternHigh	19.355	0.5	6.0	52.9	58.9	7.1
19.968	0.5	10	1	1.0	313	1	R	1	1.0	23	56364	7.0	n/a	36396	2	RandomLow	19.968	0.5	6.0	52.9	58.9	7.1
20.581	0.5	10	3	3.0	316	1	P	1	1.0	24	56977	n/a	0.0	36396	2	PatternHigh	20.581	0.5	6.0	52.9	58.9	7.1
21.211	0.5	10	3	3.0	298	1	R	1	1.0	25	57607	10.0	n/a	36396	2	RandomLow	21.211	0.5	6.0	52.9	58.9	7.1
21.825	0.5	10	4	4.0	332	1	P	1	1.0	26	58221	n/a	4.0	36396	2	PatternHigh	21.825	0.5	6.0	52.9	58.9	7.1
22.455	0.5	10	1	1.0	379	1	R	1	1.0	27	58851	14.0	n/a	36396	2	RandomLow	22.455	0.5	6.0	52.9	58.9	7.1
23.068	0.5	10	1	1.0	364	1	P	1	1.0	28	59464	n/a	7.0	36396	2	PatternHigh	23.068	0.5	6.0	52.9	58.9	7.1
23.682	0.5	10	2	n/a	0	0	R	1	1.0	29	60078	1.0	n/a	36396	2	RandomHigh	23.682	0.5	6.0	52.9	58.9	7.1
24.312	0.5	10	2	n/a	0	0	P	1	1.0	30	60708	n/a	11.0	36396	2	PatternHigh	24.312	0.5	6.0	52.9	58.9	7.1
24.925	0.5	10	3	3.0	376	1	R	1	1.0	31	61321	4.0	n/a	36396	2	RandomHigh	24.925	0.5	6.0	52.9	58.9	7.1
25.555	0.5	10	3	3.0	343	1	P	1	1.0	32	61951	n/a	14.0	36396	2	PatternHigh	25.555	0.5	6.0	52.9	58.9	7.1
26.169	0.5	10	4	4.0	312	1	R	1	1.0	33	62565	8.0	n/a	36396	2	RandomHigh	26.169	0.5	6.0	52.9	58.9	7.1
