onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.321	0.5	5	3	3.0	290	1	Prac	1	1.0	1	86473	1.0	n/a	80152	3	n/a	6.321	0.5	6.0	52.9	58.9	7.1
6.951	0.5	5	1	1.0	307	1	Prac	1	1.0	2	87103	11.0	n/a	80152	3	n/a	6.951	0.5	6.0	52.9	58.9	7.1
7.565	0.5	5	3	3.0	277	1	Prac	1	1.0	3	87717	5.0	n/a	80152	3	n/a	7.565	0.5	6.0	52.9	58.9	7.1
8.195	0.5	5	2	3.0	224	0	Prac	1	1.0	4	88347	15.0	n/a	80152	3	n/a	8.195	0.5	6.0	52.9	58.9	7.1
8.808	0.5	5	2	2.0	377	1	Prac	1	1.0	5	88960	8.0	n/a	80152	3	n/a	8.808	0.5	6.0	52.9	58.9	7.1
9.422	0.5	5	1	1.0	330	1	P	1	1.0	6	89574	n/a	2.0	80152	3	n/a	9.422	0.5	6.0	52.9	58.9	7.1
10.052	0.5	5	1	1.0	340	1	R	1	1.0	7	90204	12.0	n/a	80152	3	n/a	10.052	0.5	6.0	52.9	58.9	7.1
10.665	0.5	5	4	4.0	363	1	P	1	1.0	8	90817	n/a	5.0	80152	3	PatternHigh	10.665	0.5	6.0	52.9	58.9	7.1
11.295	0.5	5	2	2.0	341	1	R	1	1.0	9	91447	15.0	n/a	80152	3	RandomLow	11.295	0.5	6.0	52.9	58.9	7.1
11.909	0.5	5	2	2.0	277	1	P	1	1.0	10	92061	n/a	9.0	80152	3	PatternHigh	11.909	0.5	6.0	52.9	58.9	7.1
12.522	0.5	5	4	4.0	335	1	R	1	1.0	11	92674	2.0	n/a	80152	3	RandomLow	12.522	0.5	6.0	52.9	58.9	7.1
13.152	0.5	5	3	3.0	374	1	P	1	1.0	12	93304	n/a	12.0	80152	3	PatternHigh	13.152	0.5	6.0	52.9	58.9	7.1
13.765	0.5	5	2	2.0	369	1	R	1	1.0	13	93917	5.0	n/a	80152	3	RandomHigh	13.765	0.5	6.0	52.9	58.9	7.1
14.395	0.5	5	1	1.0	364	1	P	1	1.0	14	94547	n/a	15.0	80152	3	PatternHigh	14.395	0.5	6.0	52.9	58.9	7.1
15.009	0.5	5	2	2.0	358	1	R	1	1.0	15	95161	9.0	n/a	80152	3	RandomLow	15.009	0.5	6.0	52.9	58.9	7.1
15.622	0.5	5	4	4.0	376	1	P	1	1.0	16	95774	n/a	2.0	80152	3	PatternHigh	15.622	0.5	6.0	52.9	58.9	7.1
16.252	0.5	5	3	3.0	332	1	R	1	1.0	17	96404	12.0	n/a	80152	3	RandomHigh	16.252	0.5	6.0	52.9	58.9	7.1
16.866	0.5	5	2	2.0	257	1	P	1	1.0	18	97018	n/a	6.0	80152	3	PatternHigh	16.866	0.5	6.0	52.9	58.9	7.1
17.479	0.5	5	2	2.0	348	1	R	1	1.0	19	97631	-1.0	n/a	80152	3	RandomLow	17.479	0.5	6.0	52.9	58.9	7.1
18.109	0.5	5	3	3.0	333	1	P	1	1.0	20	98261	n/a	9.0	80152	3	PatternHigh	18.109	0.5	6.0	52.9	58.9	7.1
18.723	0.5	5	4	4.0	319	1	R	1	1.0	21	98875	3.0	n/a	80152	3	RandomLow	18.723	0.5	6.0	52.9	58.9	7.1
19.353	0.5	5	1	3.0	261	0	P	1	1.0	22	99505	n/a	13.0	80152	3	PatternHigh	19.353	0.5	6.0	52.9	58.9	7.1
19.966	0.5	5	4	4.0	328	1	R	1	1.0	23	100118	6.0	n/a	80152	3	RandomLow	19.966	0.5	6.0	52.9	58.9	7.1
20.596	0.5	5	4	4.0	452	1	P	1	1.0	24	100748	n/a	16.0	80152	3	PatternHigh	20.596	0.5	6.0	52.9	58.9	7.1
21.209	0.5	5	4	4.0	395	1	R	1	1.0	25	101361	9.0	n/a	80152	3	RandomLow	21.209	0.5	6.0	52.9	58.9	7.1
21.823	0.5	5	2	2.0	319	1	P	1	1.0	26	101975	n/a	3.0	80152	3	PatternHigh	21.823	0.5	6.0	52.9	58.9	7.1
22.453	0.5	5	2	2.0	206	1	R	1	1.0	27	102605	13.0	n/a	80152	3	RandomHigh	22.453	0.5	6.0	52.9	58.9	7.1
23.066	0.5	5	3	3.0	328	1	P	1	1.0	28	103218	n/a	6.0	80152	3	PatternHigh	23.066	0.5	6.0	52.9	58.9	7.1
23.68	0.5	5	2	2.0	341	1	R	1	1.0	29	103832	0.0	n/a	80152	3	RandomLow	23.68	0.5	6.0	52.9	58.9	7.1
24.31	0.5	5	1	1.0	323	1	P	1	1.0	30	104462	n/a	10.0	80152	3	PatternHigh	24.31	0.5	6.0	52.9	58.9	7.1
24.923	0.5	5	2	2.0	339	1	R	1	1.0	31	105075	3.0	n/a	80152	3	RandomLow	24.923	0.5	6.0	52.9	58.9	7.1
25.553	0.5	5	4	4.0	294	1	P	1	1.0	32	105705	n/a	13.0	80152	3	PatternHigh	25.553	0.5	6.0	52.9	58.9	7.1
26.167	0.5	5	3	3.0	317	1	R	1	1.0	33	106319	7.0	n/a	80152	3	RandomHigh	26.167	0.5	6.0	52.9	58.9	7.1
