onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.326	0.5	19	4	4.0	351	1	Prac	1	1.0	1	36334	14.0	n/a	30008	2	n/a	6.326	0.5	6.0	52.9	58.9	7.1
6.939	0.5	19	4	4.0	297	1	Prac	1	1.0	2	36947	7.0	n/a	30008	2	n/a	6.939	0.5	6.0	52.9	58.9	7.1
7.553	0.5	19	3	2.0	361	0	Prac	1	1.0	3	37561	1.0	n/a	30008	2	n/a	7.553	0.5	6.0	52.9	58.9	7.1
8.183	0.5	19	1	1.0	362	1	Prac	1	1.0	4	38191	11.0	n/a	30008	2	n/a	8.183	0.5	6.0	52.9	58.9	7.1
8.796	0.5	19	4	4.0	335	1	Prac	1	1.0	5	38804	4.0	n/a	30008	2	n/a	8.796	0.5	6.0	52.9	58.9	7.1
9.426	0.5	19	4	4.0	305	1	P	1	1.0	6	39434	n/a	14.0	30008	2	n/a	9.426	0.5	6.0	52.9	58.9	7.1
10.04	0.5	19	3	3.0	328	1	R	1	1.0	7	40048	8.0	n/a	30008	2	n/a	10.04	0.5	6.0	52.9	58.9	7.1
10.653	0.5	19	1	1.0	319	1	P	1	1.0	8	40661	n/a	1.0	30008	2	PatternHigh	10.653	0.5	6.0	52.9	58.9	7.1
11.283	0.5	19	2	2.0	386	1	R	1	1.0	9	41291	11.0	n/a	30008	2	RandomLow	11.283	0.5	6.0	52.9	58.9	7.1
11.897	0.5	19	2	2.0	372	1	P	1	1.0	10	41905	n/a	5.0	30008	2	PatternHigh	11.897	0.5	6.0	52.9	58.9	7.1
12.527	0.5	19	1	1.0	347	1	R	1	1.0	11	42535	15.0	n/a	30008	2	RandomLow	12.527	0.5	6.0	52.9	58.9	7.1
13.14	0.5	19	3	3.0	313	1	P	1	1.0	12	43148	n/a	8.0	30008	2	PatternHigh	13.14	0.5	6.0	52.9	58.9	7.1
13.753	0.5	19	3	3.0	344	1	R	1	1.0	13	43761	1.0	n/a	30008	2	RandomLow	13.753	0.5	6.0	52.9	58.9	7.1
14.383	0.5	19	4	4.0	330	1	P	1	1.0	14	44391	n/a	11.0	30008	2	PatternHigh	14.383	0.5	6.0	52.9	58.9	7.1
14.997	0.5	19	4	4.0	349	1	R	1	1.0	15	45005	5.0	n/a	30008	2	RandomHigh	14.997	0.5	6.0	52.9	58.9	7.1
15.627	0.5	19	1	1.0	362	1	P	1	1.0	16	45635	n/a	15.0	30008	2	PatternHigh	15.627	0.5	6.0	52.9	58.9	7.1
16.24	0.5	19	3	3.0	309	1	R	1	1.0	17	46248	8.0	n/a	30008	2	RandomLow	16.24	0.5	6.0	52.9	58.9	7.1
16.854	0.5	19	2	2.0	329	1	P	1	1.0	18	46862	n/a	2.0	30008	2	PatternHigh	16.854	0.5	6.0	52.9	58.9	7.1
17.484	0.5	19	3	3.0	309	1	R	1	1.0	19	47492	12.0	n/a	30008	2	RandomLow	17.484	0.5	6.0	52.9	58.9	7.1
