onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.32	0.5	29	3	3.0	385	1	Prac	1	1.0	1	31962	0.0	n/a	25642	3	n/a	6.32	0.5	6.0	52.9	58.9	7.1
6.95	0.5	29	1	1.0	330	1	Prac	1	1.0	2	32592	10.0	n/a	25642	3	n/a	6.95	0.5	6.0	52.9	58.9	7.1
7.563	0.5	29	1	1.0	269	1	Prac	1	1.0	3	33205	3.0	n/a	25642	3	n/a	7.563	0.5	6.0	52.9	58.9	7.1
8.193	0.5	29	2	1.0	196	0	Prac	1	1.0	4	33835	13.0	n/a	25642	3	n/a	8.193	0.5	6.0	52.9	58.9	7.1
8.807	0.5	29	4	4.0	334	1	Prac	1	1.0	5	34449	7.0	n/a	25642	3	n/a	8.807	0.5	6.0	52.9	58.9	7.1
9.42	0.5	29	1	1.0	362	1	P	1	1.0	6	35062	n/a	0.0	25642	3	n/a	9.42	0.5	6.0	52.9	58.9	7.1
10.05	0.5	29	4	4.0	325	1	R	1	1.0	7	35692	10.0	n/a	25642	3	n/a	10.05	0.5	6.0	52.9	58.9	7.1
10.664	0.5	29	4	4.0	288	1	P	1	1.0	8	36306	n/a	4.0	25642	3	PatternHigh	10.664	0.5	6.0	52.9	58.9	7.1
11.294	0.5	29	3	4.0	228	0	R	1	1.0	9	36936	14.0	n/a	25642	3	RandomLow	11.294	0.5	6.0	52.9	58.9	7.1
11.907	0.5	29	2	2.0	310	1	P	1	1.0	10	37549	n/a	7.0	25642	3	PatternHigh	11.907	0.5	6.0	52.9	58.9	7.1
12.521	0.5	29	2	2.0	263	1	R	1	1.0	11	38163	1.0	n/a	25642	3	RandomLow	12.521	0.5	6.0	52.9	58.9	7.1
13.151	0.5	29	3	3.0	323	1	P	1	1.0	12	38793	n/a	11.0	25642	3	PatternHigh	13.151	0.5	6.0	52.9	58.9	7.1
13.764	0.5	29	4	4.0	321	1	R	1	1.0	13	39406	4.0	n/a	25642	3	RandomLow	13.764	0.5	6.0	52.9	58.9	7.1
14.394	0.5	29	1	1.0	272	1	P	1	1.0	14	40036	n/a	14.0	25642	3	PatternHigh	14.394	0.5	6.0	52.9	58.9	7.1
15.007	0.5	29	3	3.0	446	1	R	1	1.0	15	40649	7.0	n/a	25642	3	RandomLow	15.007	0.5	6.0	52.9	58.9	7.1
15.621	0.5	29	4	4.0	331	1	P	1	1.0	16	41263	n/a	1.0	25642	3	PatternHigh	15.621	0.5	6.0	52.9	58.9	7.1
16.251	0.5	29	3	3.0	378	1	R	1	1.0	17	41893	11.0	n/a	25642	3	RandomLow	16.251	0.5	6.0	52.9	58.9	7.1
16.864	0.5	29	2	2.0	293	1	P	1	1.0	18	42506	n/a	4.0	25642	3	PatternHigh	16.864	0.5	6.0	52.9	58.9	7.1
17.494	0.5	29	2	2.0	280	1	R	1	1.0	19	43136	14.0	n/a	25642	3	RandomLow	17.494	0.5	6.0	52.9	58.9	7.1
18.108	0.5	29	3	4.0	327	0	P	1	1.0	20	43750	n/a	8.0	25642	3	PatternHigh	18.108	0.5	6.0	52.9	58.9	7.1
18.721	0.5	29	3	3.0	343	1	R	1	1.0	21	44363	1.0	n/a	25642	3	RandomHigh	18.721	0.5	6.0	52.9	58.9	7.1
19.351	0.5	29	1	1.0	294	1	P	1	1.0	22	44993	n/a	11.0	25642	3	PatternHigh	19.351	0.5	6.0	52.9	58.9	7.1
19.965	0.5	29	4	4.0	322	1	R	1	1.0	23	45607	5.0	n/a	25642	3	RandomLow	19.965	0.5	6.0	52.9	58.9	7.1
20.595	0.5	29	4	4.0	281	1	P	1	1.0	24	46237	n/a	15.0	25642	3	PatternHigh	20.595	0.5	6.0	52.9	58.9	7.1
21.208	0.5	29	1	4.0	221	0	R	1	1.0	25	46850	8.0	n/a	25642	3	RandomLow	21.208	0.5	6.0	52.9	58.9	7.1
21.822	0.5	29	2	2.0	345	1	P	1	1.0	26	47464	n/a	2.0	25642	3	PatternHigh	21.822	0.5	6.0	52.9	58.9	7.1
22.452	0.5	29	1	1.0	367	1	R	1	1.0	27	48094	12.0	n/a	25642	3	RandomLow	22.452	0.5	6.0	52.9	58.9	7.1
23.065	0.5	29	3	3.0	349	1	P	1	1.0	28	48707	n/a	5.0	25642	3	PatternHigh	23.065	0.5	6.0	52.9	58.9	7.1
23.695	0.5	29	1	1.0	324	1	R	1	1.0	29	49337	15.0	n/a	25642	3	RandomLow	23.695	0.5	6.0	52.9	58.9	7.1
24.308	0.5	29	1	1.0	313	1	P	1	1.0	30	49950	n/a	8.0	25642	3	PatternHigh	24.308	0.5	6.0	52.9	58.9	7.1
24.922	0.5	29	1	1.0	262	1	R	1	1.0	31	50564	2.0	n/a	25642	3	RandomLow	24.922	0.5	6.0	52.9	58.9	7.1
25.552	0.5	29	4	1.0	200	0	P	1	1.0	32	51194	n/a	12.0	25642	3	PatternHigh	25.552	0.5	6.0	52.9	58.9	7.1
26.165	0.5	29	2	2.0	364	1	R	1	1.0	33	51807	5.0	n/a	25642	3	RandomLow	26.165	0.5	6.0	52.9	58.9	7.1
26.795	0.5	29	2	2.0	270	1	P	1	1.0	34	52437	n/a	15.0	25642	3	PatternHigh	26.795	0.5	6.0	52.9	58.9	7.1
27.409	0.5	29	2	2.0	252	1	R	1	1.0	35	53051	9.0	n/a	25642	3	RandomLow	27.409	0.5	6.0	52.9	58.9	7.1
28.022	0.5	29	3	2.0	224	0	P	1	1.0	36	53664	n/a	2.0	25642	3	PatternHigh	28.022	0.5	6.0	52.9	58.9	7.1
28.652	0.5	29	2	2.0	340	1	R	1	1.0	37	54294	12.0	n/a	25642	3	RandomLow	28.652	0.5	6.0	52.9	58.9	7.1
29.266	0.5	29	1	1.0	306	1	P	1	1.0	38	54908	n/a	6.0	25642	3	PatternHigh	29.266	0.5	6.0	52.9	58.9	7.1
29.896	0.5	29	1	1.0	285	1	R	1	1.0	39	55538	16.0	n/a	25642	3	RandomLow	29.896	0.5	6.0	52.9	58.9	7.1
30.509	0.5	29	4	4.0	343	1	P	1	1.0	40	56151	n/a	9.0	25642	3	PatternHigh	30.509	0.5	6.0	52.9	58.9	7.1
31.122	0.5	29	1	1.0	347	1	R	1	1.0	41	56764	2.0	n/a	25642	3	RandomLow	31.122	0.5	6.0	52.9	58.9	7.1
31.752	0.5	29	2	2.0	338	1	P	1	1.0	42	57394	n/a	12.0	25642	3	PatternHigh	31.752	0.5	6.0	52.9	58.9	7.1
32.366	0.5	29	4	n/a	0	0	R	1	1.0	43	58008	6.0	n/a	25642	3	RandomHigh	32.366	0.5	6.0	52.9	58.9	7.1
32.996	0.5	29	3	3.0	417	1	P	1	1.0	44	58638	n/a	16.0	25642	3	PatternHigh	32.996	0.5	6.0	52.9	58.9	7.1
33.609	0.5	29	1	1.0	332	1	R	1	1.0	45	59251	9.0	n/a	25642	3	RandomLow	33.609	0.5	6.0	52.9	58.9	7.1
34.223	0.5	29	1	1.0	315	1	P	1	1.0	46	59865	n/a	3.0	25642	3	PatternHigh	34.223	0.5	6.0	52.9	58.9	7.1
34.853	0.5	29	1	1.0	284	1	R	1	1.0	47	60495	13.0	n/a	25642	3	RandomLow	34.853	0.5	6.0	52.9	58.9	7.1
35.466	0.5	29	4	4.0	375	1	P	1	1.0	48	61108	n/a	6.0	25642	3	PatternHigh	35.466	0.5	6.0	52.9	58.9	7.1
36.08	0.5	29	4	4.0	315	1	R	1	1.0	49	61722	0.0	n/a	25642	3	RandomHigh	36.08	0.5	6.0	52.9	58.9	7.1
36.71	0.5	29	2	2.0	331	1	P	1	1.0	50	62352	n/a	10.0	25642	3	PatternHigh	36.71	0.5	6.0	52.9	58.9	7.1
37.323	0.5	29	2	2.0	311	1	R	1	1.0	51	62965	3.0	n/a	25642	3	RandomHigh	37.323	0.5	6.0	52.9	58.9	7.1
37.953	0.5	29	3	3.0	360	1	P	1	1.0	52	63595	n/a	13.0	25642	3	PatternHigh	37.953	0.5	6.0	52.9	58.9	7.1
38.567	0.5	29	4	4.0	327	1	R	1	1.0	53	64209	7.0	n/a	25642	3	RandomLow	38.567	0.5	6.0	52.9	58.9	7.1
39.18	0.5	29	1	1.0	337	1	P	1	1.0	54	64822	n/a	0.0	25642	3	PatternHigh	39.18	0.5	6.0	52.9	58.9	7.1
39.81	0.5	29	1	1.0	352	1	R	1	1.0	55	65452	10.0	n/a	25642	3	RandomLow	39.81	0.5	6.0	52.9	58.9	7.1
40.423	0.5	29	4	4.0	414	1	P	1	1.0	56	66065	n/a	3.0	25642	3	PatternHigh	40.423	0.5	6.0	52.9	58.9	7.1
41.053	0.5	29	4	4.0	358	1	R	1	1.0	57	66695	13.0	n/a	25642	3	RandomHigh	41.053	0.5	6.0	52.9	58.9	7.1
41.667	0.5	29	2	2.0	483	1	P	1	1.0	58	67309	n/a	7.0	25642	3	PatternHigh	41.667	0.5	6.0	52.9	58.9	7.1
42.28	0.5	29	2	2.0	342	1	R	1	1.0	59	67922	0.0	n/a	25642	3	RandomHigh	42.28	0.5	6.0	52.9	58.9	7.1
