onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.325	0.5	3	3	3.0	308	1	Prac	1	1.0	1	41394	5.0	n/a	35069	3	n/a	6.325	0.5	6.0	52.9	58.9	7.1
6.955	0.5	3	3	3.0	329	1	Prac	1	1.0	2	42024	15.0	n/a	35069	3	n/a	6.955	0.5	6.0	52.9	58.9	7.1
7.569	0.5	3	1	1.0	345	1	Prac	1	1.0	3	42638	9.0	n/a	35069	3	n/a	7.569	0.5	6.0	52.9	58.9	7.1
8.182	0.5	3	4	4.0	381	1	Prac	1	1.0	4	43251	2.0	n/a	35069	3	n/a	8.182	0.5	6.0	52.9	58.9	7.1
8.812	0.5	3	3	3.0	441	1	Prac	1	1.0	5	43881	12.0	n/a	35069	3	n/a	8.812	0.5	6.0	52.9	58.9	7.1
9.425	0.5	3	1	1.0	332	1	P	1	1.0	6	44494	n/a	5.0	35069	3	n/a	9.425	0.5	6.0	52.9	58.9	7.1
10.055	0.5	3	1	1.0	230	1	R	1	1.0	7	45124	15.0	n/a	35069	3	n/a	10.055	0.5	6.0	52.9	58.9	7.1
10.669	0.5	3	3	1.0	229	0	P	1	1.0	8	45738	n/a	9.0	35069	3	PatternHigh	10.669	0.5	6.0	52.9	58.9	7.1
11.282	0.5	3	1	1.0	350	1	R	1	1.0	9	46351	2.0	n/a	35069	3	RandomLow	11.282	0.5	6.0	52.9	58.9	7.1
11.912	0.5	3	2	2.0	381	1	P	1	1.0	10	46981	n/a	12.0	35069	3	PatternHigh	11.912	0.5	6.0	52.9	58.9	7.1
12.526	0.5	3	3	3.0	331	1	R	1	1.0	11	47595	6.0	n/a	35069	3	RandomHigh	12.526	0.5	6.0	52.9	58.9	7.1
13.156	0.5	3	4	4.0	357	1	P	1	1.0	12	48225	n/a	16.0	35069	3	PatternHigh	13.156	0.5	6.0	52.9	58.9	7.1
13.769	0.5	3	3	3.0	404	1	R	1	1.0	13	48838	9.0	n/a	35069	3	RandomLow	13.769	0.5	6.0	52.9	58.9	7.1
14.383	0.5	3	1	1.0	330	1	P	1	1.0	14	49452	n/a	3.0	35069	3	PatternHigh	14.383	0.5	6.0	52.9	58.9	7.1
15.013	0.5	3	3	3.0	339	1	R	1	1.0	15	50082	13.0	n/a	35069	3	RandomLow	15.013	0.5	6.0	52.9	58.9	7.1
15.626	0.5	3	3	3.0	289	1	P	1	1.0	16	50695	n/a	6.0	35069	3	PatternHigh	15.626	0.5	6.0	52.9	58.9	7.1
16.256	0.5	3	3	3.0	332	1	R	1	1.0	17	51325	16.0	n/a	35069	3	RandomLow	16.256	0.5	6.0	52.9	58.9	7.1
16.869	0.5	3	2	n/a	0	0	P	1	1.0	18	51938	n/a	9.0	35069	3	PatternHigh	16.869	0.5	6.0	52.9	58.9	7.1
17.483	0.5	3	2	2.0	418	1	R	1	1.0	19	52552	3.0	n/a	35069	3	RandomHigh	17.483	0.5	6.0	52.9	58.9	7.1
18.113	0.5	3	4	4.0	372	1	P	1	1.0	20	53182	n/a	13.0	35069	3	PatternHigh	18.113	0.5	6.0	52.9	58.9	7.1
