onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.328	0.5	16	4	4.0	430	1	Prac	1	1.0	1	42984	8.0	n/a	36656	3	n/a	6.328	0.5	6.0	52.9	58.9	7.1
6.942	0.5	16	3	3.0	329	1	Prac	1	1.0	2	43598	2.0	n/a	36656	3	n/a	6.942	0.5	6.0	52.9	58.9	7.1
7.572	0.5	16	4	4.0	266	1	Prac	1	1.0	3	44228	12.0	n/a	36656	3	n/a	7.572	0.5	6.0	52.9	58.9	7.1
8.185	0.5	16	4	4.0	242	1	Prac	1	1.0	4	44841	5.0	n/a	36656	3	n/a	8.185	0.5	6.0	52.9	58.9	7.1
8.815	0.5	16	4	4.0	217	1	Prac	1	1.0	5	45471	15.0	n/a	36656	3	n/a	8.815	0.5	6.0	52.9	58.9	7.1
9.429	0.5	16	3	3.0	352	1	P	1	1.0	6	46085	n/a	9.0	36656	3	n/a	9.429	0.5	6.0	52.9	58.9	7.1
10.042	0.5	16	1	1.0	364	1	R	1	1.0	7	46698	2.0	n/a	36656	3	n/a	10.042	0.5	6.0	52.9	58.9	7.1
10.672	0.5	16	2	1.0	225	0	P	1	1.0	8	47328	n/a	12.0	36656	3	PatternHigh	10.672	0.5	6.0	52.9	58.9	7.1
11.285	0.5	16	3	3.0	319	1	R	1	1.0	9	47941	5.0	n/a	36656	3	RandomHigh	11.285	0.5	6.0	52.9	58.9	7.1
11.916	0.5	16	4	4.0	314	1	P	1	1.0	10	48572	n/a	16.0	36656	3	PatternHigh	11.916	0.5	6.0	52.9	58.9	7.1
12.529	0.5	16	4	4.0	440	1	R	1	1.0	11	49185	9.0	n/a	36656	3	RandomLow	12.529	0.5	6.0	52.9	58.9	7.1
13.142	0.5	16	1	1.0	354	1	P	1	1.0	12	49798	n/a	2.0	36656	3	PatternHigh	13.142	0.5	6.0	52.9	58.9	7.1
13.772	0.5	16	3	3.0	327	1	R	1	1.0	13	50428	12.0	n/a	36656	3	RandomLow	13.772	0.5	6.0	52.9	58.9	7.1
14.386	0.5	16	3	3.0	307	1	P	1	1.0	14	51042	n/a	6.0	36656	3	PatternHigh	14.386	0.5	6.0	52.9	58.9	7.1
15.016	0.5	16	2	2.0	311	1	R	1	1.0	15	51672	16.0	n/a	36656	3	RandomHigh	15.016	0.5	6.0	52.9	58.9	7.1
15.629	0.5	16	2	2.0	329	1	P	1	1.0	16	52285	n/a	9.0	36656	3	PatternHigh	15.629	0.5	6.0	52.9	58.9	7.1
16.243	0.5	16	3	3.0	288	1	R	1	1.0	17	52899	3.0	n/a	36656	3	RandomLow	16.243	0.5	6.0	52.9	58.9	7.1
16.873	0.5	16	4	3.0	205	0	P	1	1.0	18	53529	n/a	13.0	36656	3	PatternHigh	16.873	0.5	6.0	52.9	58.9	7.1
17.486	0.5	16	1	1.0	323	1	R	1	1.0	19	54142	6.0	n/a	36656	3	RandomLow	17.486	0.5	6.0	52.9	58.9	7.1
18.1	0.5	16	1	1.0	330	1	P	1	1.0	20	54756	n/a	0.0	36656	3	PatternHigh	18.1	0.5	6.0	52.9	58.9	7.1
18.73	0.5	16	4	4.0	315	1	R	1	1.0	21	55386	10.0	n/a	36656	3	RandomLow	18.73	0.5	6.0	52.9	58.9	7.1
19.343	0.5	16	3	3.0	306	1	P	1	1.0	22	55999	n/a	3.0	36656	3	PatternHigh	19.343	0.5	6.0	52.9	58.9	7.1
19.973	0.5	16	4	4.0	327	1	R	1	1.0	23	56629	13.0	n/a	36656	3	RandomLow	19.973	0.5	6.0	52.9	58.9	7.1
20.586	0.5	16	2	2.0	295	1	P	1	1.0	24	57242	n/a	6.0	36656	3	PatternHigh	20.586	0.5	6.0	52.9	58.9	7.1
21.2	0.5	16	3	3.0	321	1	R	1	1.0	25	57856	0.0	n/a	36656	3	RandomLow	21.2	0.5	6.0	52.9	58.9	7.1
21.83	0.5	16	4	4.0	347	1	P	1	1.0	26	58486	n/a	10.0	36656	3	PatternHigh	21.83	0.5	6.0	52.9	58.9	7.1
22.443	0.5	16	1	1.0	330	1	R	1	1.0	27	59099	3.0	n/a	36656	3	RandomLow	22.443	0.5	6.0	52.9	58.9	7.1
23.073	0.5	16	1	1.0	284	1	P	1	1.0	28	59729	n/a	13.0	36656	3	PatternHigh	23.073	0.5	6.0	52.9	58.9	7.1
23.687	0.5	16	2	2.0	347	1	R	1	1.0	29	60343	7.0	n/a	36656	3	RandomLow	23.687	0.5	6.0	52.9	58.9	7.1
24.3	0.5	16	3	3.0	322	1	P	1	1.0	30	60956	n/a	0.0	36656	3	PatternHigh	24.3	0.5	6.0	52.9	58.9	7.1
24.93	0.5	16	1	1.0	355	1	R	1	1.0	31	61586	10.0	n/a	36656	3	RandomLow	24.93	0.5	6.0	52.9	58.9	7.1
25.544	0.5	16	2	2.0	334	1	P	1	1.0	32	62200	n/a	4.0	36656	3	PatternHigh	25.544	0.5	6.0	52.9	58.9	7.1
26.174	0.5	16	3	3.0	398	1	R	1	1.0	33	62830	14.0	n/a	36656	3	RandomHigh	26.174	0.5	6.0	52.9	58.9	7.1
26.787	0.5	16	4	4.0	307	1	P	1	1.0	34	63443	n/a	7.0	36656	3	PatternHigh	26.787	0.5	6.0	52.9	58.9	7.1
27.4	0.5	16	4	4.0	363	1	R	1	1.0	35	64056	0.0	n/a	36656	3	RandomLow	27.4	0.5	6.0	52.9	58.9	7.1
28.03	0.5	16	1	1.0	311	1	P	1	1.0	36	64686	n/a	10.0	36656	3	PatternHigh	28.03	0.5	6.0	52.9	58.9	7.1
28.644	0.5	16	1	1.0	263	1	R	1	1.0	37	65300	4.0	n/a	36656	3	RandomHigh	28.644	0.5	6.0	52.9	58.9	7.1
29.274	0.5	16	3	3.0	324	1	P	1	1.0	38	65930	n/a	14.0	36656	3	PatternHigh	29.274	0.5	6.0	52.9	58.9	7.1
29.887	0.5	16	4	4.0	321	1	R	1	1.0	39	66543	7.0	n/a	36656	3	RandomLow	29.887	0.5	6.0	52.9	58.9	7.1
30.501	0.5	16	2	2.0	321	1	P	1	1.0	40	67157	n/a	1.0	36656	3	PatternHigh	30.501	0.5	6.0	52.9	58.9	7.1
31.131	0.5	16	1	1.0	322	1	R	1	1.0	41	67787	11.0	n/a	36656	3	RandomHigh	31.131	0.5	6.0	52.9	58.9	7.1
31.744	0.5	16	4	4.0	318	1	P	1	1.0	42	68400	n/a	4.0	36656	3	PatternHigh	31.744	0.5	6.0	52.9	58.9	7.1
32.374	0.5	16	4	4.0	271	1	R	1	1.0	43	69030	14.0	n/a	36656	3	RandomLow	32.374	0.5	6.0	52.9	58.9	7.1
32.988	0.5	16	1	1.0	343	1	P	1	1.0	44	69644	n/a	8.0	36656	3	PatternHigh	32.988	0.5	6.0	52.9	58.9	7.1
33.601	0.5	16	2	2.0	312	1	R	1	1.0	45	70257	1.0	n/a	36656	3	RandomLow	33.601	0.5	6.0	52.9	58.9	7.1
34.231	0.5	16	3	3.0	320	1	P	1	1.0	46	70887	n/a	11.0	36656	3	PatternHigh	34.231	0.5	6.0	52.9	58.9	7.1
34.845	0.5	16	1	1.0	300	1	R	1	1.0	47	71501	5.0	n/a	36656	3	RandomLow	34.845	0.5	6.0	52.9	58.9	7.1
35.475	0.5	16	2	2.0	326	1	P	1	1.0	48	72131	n/a	15.0	36656	3	PatternHigh	35.475	0.5	6.0	52.9	58.9	7.1
36.088	0.5	16	3	3.0	329	1	R	1	1.0	49	72744	8.0	n/a	36656	3	RandomHigh	36.088	0.5	6.0	52.9	58.9	7.1
36.701	0.5	16	4	4.0	308	1	P	1	1.0	50	73357	n/a	1.0	36656	3	PatternHigh	36.701	0.5	6.0	52.9	58.9	7.1
37.331	0.5	16	3	3.0	265	1	R	1	1.0	51	73987	11.0	n/a	36656	3	RandomLow	37.331	0.5	6.0	52.9	58.9	7.1
37.945	0.5	16	1	1.0	297	1	P	1	1.0	52	74601	n/a	5.0	36656	3	PatternHigh	37.945	0.5	6.0	52.9	58.9	7.1
38.575	0.5	16	4	4.0	324	1	R	1	1.0	53	75231	15.0	n/a	36656	3	RandomLow	38.575	0.5	6.0	52.9	58.9	7.1
39.188	0.5	16	3	3.0	288	1	P	1	1.0	54	75844	n/a	8.0	36656	3	PatternHigh	39.188	0.5	6.0	52.9	58.9	7.1
39.802	0.5	16	2	2.0	261	1	R	1	1.0	55	76458	2.0	n/a	36656	3	RandomLow	39.802	0.5	6.0	52.9	58.9	7.1
40.432	0.5	16	2	2.0	300	1	P	1	1.0	56	77088	n/a	12.0	36656	3	PatternHigh	40.432	0.5	6.0	52.9	58.9	7.1
41.045	0.5	16	2	2.0	423	1	R	1	1.0	57	77701	5.0	n/a	36656	3	RandomLow	41.045	0.5	6.0	52.9	58.9	7.1
41.675	0.5	16	4	4.0	300	1	P	1	1.0	58	78331	n/a	15.0	36656	3	PatternHigh	41.675	0.5	6.0	52.9	58.9	7.1
42.289	0.5	16	1	1.0	349	1	R	1	1.0	59	78945	9.0	n/a	36656	3	RandomLow	42.289	0.5	6.0	52.9	58.9	7.1
42.902	0.5	16	1	1.0	280	1	P	1	1.0	60	79558	n/a	2.0	36656	3	PatternHigh	42.902	0.5	6.0	52.9	58.9	7.1
43.532	0.5	16	1	1.0	326	1	R	1	1.0	61	80188	12.0	n/a	36656	3	RandomLow	43.532	0.5	6.0	52.9	58.9	7.1
44.145	0.5	16	3	3.0	334	1	P	1	1.0	62	80801	n/a	5.0	36656	3	PatternHigh	44.145	0.5	6.0	52.9	58.9	7.1
44.775	0.5	16	1	1.0	317	1	R	1	1.0	63	81431	15.0	n/a	36656	3	RandomLow	44.775	0.5	6.0	52.9	58.9	7.1
45.389	0.5	16	2	2.0	423	1	P	1	1.0	64	82045	n/a	9.0	36656	3	PatternHigh	45.389	0.5	6.0	52.9	58.9	7.1
46.002	0.5	16	4	4.0	307	1	R	1	1.0	65	82658	2.0	n/a	36656	3	RandomLow	46.002	0.5	6.0	52.9	58.9	7.1
