onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.326	0.5	13	4	4.0	479	1	Prac	1	1.0	1	34737	5.0	n/a	28411	3	n/a	6.326	0.5	6.0	52.9	58.9	7.1
6.956	0.5	13	4	4.0	348	1	Prac	1	1.0	2	35367	15.0	n/a	28411	3	n/a	6.956	0.5	6.0	52.9	58.9	7.1
7.57	0.5	13	4	4.0	198	1	Prac	1	1.0	3	35981	9.0	n/a	28411	3	n/a	7.57	0.5	6.0	52.9	58.9	7.1
8.183	0.5	13	2	4.0	207	0	Prac	1	1.0	4	36594	2.0	n/a	28411	3	n/a	8.183	0.5	6.0	52.9	58.9	7.1
8.813	0.5	13	2	2.0	321	1	Prac	1	1.0	5	37224	12.0	n/a	28411	3	n/a	8.813	0.5	6.0	52.9	58.9	7.1
9.426	0.5	13	3	2.0	214	0	P	1	1.0	6	37837	n/a	5.0	28411	3	n/a	9.426	0.5	6.0	52.9	58.9	7.1
10.056	0.5	13	2	2.0	329	1	R	1	1.0	7	38467	15.0	n/a	28411	3	n/a	10.056	0.5	6.0	52.9	58.9	7.1
10.67	0.5	13	1	1.0	357	1	P	1	1.0	8	39081	n/a	9.0	28411	3	PatternHigh	10.67	0.5	6.0	52.9	58.9	7.1
11.283	0.5	13	3	3.0	354	1	R	1	1.0	9	39694	2.0	n/a	28411	3	RandomLow	11.283	0.5	6.0	52.9	58.9	7.1
11.913	0.5	13	2	2.0	335	1	P	1	1.0	10	40324	n/a	12.0	28411	3	PatternHigh	11.913	0.5	6.0	52.9	58.9	7.1
12.527	0.5	13	1	1.0	364	1	R	1	1.0	11	40938	6.0	n/a	28411	3	RandomHigh	12.527	0.5	6.0	52.9	58.9	7.1
13.157	0.5	13	4	4.0	337	1	P	1	1.0	12	41568	n/a	16.0	28411	3	PatternHigh	13.157	0.5	6.0	52.9	58.9	7.1
13.77	0.5	13	3	3.0	342	1	R	1	1.0	13	42181	9.0	n/a	28411	3	RandomLow	13.77	0.5	6.0	52.9	58.9	7.1
14.384	0.5	13	3	3.0	313	1	P	1	1.0	14	42795	n/a	3.0	28411	3	PatternHigh	14.384	0.5	6.0	52.9	58.9	7.1
15.014	0.5	13	4	4.0	371	1	R	1	1.0	15	43425	13.0	n/a	28411	3	RandomLow	15.014	0.5	6.0	52.9	58.9	7.1
15.627	0.5	13	1	1.0	390	1	P	1	1.0	16	44038	n/a	6.0	28411	3	PatternHigh	15.627	0.5	6.0	52.9	58.9	7.1
16.24	0.5	13	2	2.0	397	1	R	1	1.0	17	44651	-1.0	n/a	28411	3	RandomLow	16.24	0.5	6.0	52.9	58.9	7.1
