onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.327	0.5	27	2	2.0	346	1	Prac	1	1.0	1	36276	7.0	n/a	29949	2	n/a	6.327	0.5	6.0	52.9	58.9	7.1
6.941	0.5	27	4	4.0	398	1	Prac	1	1.0	2	36890	1.0	n/a	29949	2	n/a	6.941	0.5	6.0	52.9	58.9	7.1
7.571	0.5	27	2	2.0	320	1	Prac	1	1.0	3	37520	11.0	n/a	29949	2	n/a	7.571	0.5	6.0	52.9	58.9	7.1
8.184	0.5	27	1	1.0	321	1	Prac	1	1.0	4	38133	4.0	n/a	29949	2	n/a	8.184	0.5	6.0	52.9	58.9	7.1
8.814	0.5	27	1	1.0	282	1	Prac	1	1.0	5	38763	14.0	n/a	29949	2	n/a	8.814	0.5	6.0	52.9	58.9	7.1
9.428	0.5	27	1	1.0	284	1	P	1	1.0	6	39377	n/a	8.0	29949	2	n/a	9.428	0.5	6.0	52.9	58.9	7.1
10.041	0.5	27	4	4.0	363	1	R	1	1.0	7	39990	1.0	n/a	29949	2	n/a	10.041	0.5	6.0	52.9	58.9	7.1
10.671	0.5	27	3	3.0	383	1	P	1	1.0	8	40620	n/a	11.0	29949	2	PatternHigh	10.671	0.5	6.0	52.9	58.9	7.1
11.284	0.5	27	3	3.0	314	1	R	1	1.0	9	41233	4.0	n/a	29949	2	RandomLow	11.284	0.5	6.0	52.9	58.9	7.1
11.914	0.5	27	2	2.0	306	1	P	1	1.0	10	41863	n/a	14.0	29949	2	PatternHigh	11.914	0.5	6.0	52.9	58.9	7.1
12.528	0.5	27	4	4.0	378	1	R	1	1.0	11	42477	8.0	n/a	29949	2	RandomLow	12.528	0.5	6.0	52.9	58.9	7.1
13.141	0.5	27	4	4.0	342	1	P	1	1.0	12	43090	n/a	1.0	29949	2	PatternHigh	13.141	0.5	6.0	52.9	58.9	7.1
13.771	0.5	27	3	3.0	344	1	R	1	1.0	13	43720	11.0	n/a	29949	2	RandomLow	13.771	0.5	6.0	52.9	58.9	7.1
14.385	0.5	27	1	1.0	362	1	P	1	1.0	14	44334	n/a	5.0	29949	2	PatternHigh	14.385	0.5	6.0	52.9	58.9	7.1
15.015	0.5	27	4	4.0	364	1	R	1	1.0	15	44964	15.0	n/a	29949	2	RandomLow	15.015	0.5	6.0	52.9	58.9	7.1
15.628	0.5	27	3	3.0	332	1	P	1	1.0	16	45577	n/a	8.0	29949	2	PatternHigh	15.628	0.5	6.0	52.9	58.9	7.1
16.242	0.5	27	1	1.0	317	1	R	1	1.0	17	46191	2.0	n/a	29949	2	RandomHigh	16.242	0.5	6.0	52.9	58.9	7.1
16.872	0.5	27	2	2.0	297	1	P	1	1.0	18	46821	n/a	12.0	29949	2	PatternHigh	16.872	0.5	6.0	52.9	58.9	7.1
17.485	0.5	27	1	1.0	294	1	R	1	1.0	19	47434	5.0	n/a	29949	2	RandomLow	17.485	0.5	6.0	52.9	58.9	7.1
18.115	0.5	27	4	4.0	349	1	P	1	1.0	20	48064	n/a	15.0	29949	2	PatternHigh	18.115	0.5	6.0	52.9	58.9	7.1
18.728	0.5	27	3	3.0	343	1	R	1	1.0	21	48677	8.0	n/a	29949	2	RandomHigh	18.728	0.5	6.0	52.9	58.9	7.1
19.342	0.5	27	1	1.0	353	1	P	1	1.0	22	49291	n/a	2.0	29949	2	PatternHigh	19.342	0.5	6.0	52.9	58.9	7.1
19.972	0.5	27	3	3.0	337	1	R	1	1.0	23	49921	12.0	n/a	29949	2	RandomLow	19.972	0.5	6.0	52.9	58.9	7.1
20.585	0.5	27	3	3.0	330	1	P	1	1.0	24	50534	n/a	5.0	29949	2	PatternHigh	20.585	0.5	6.0	52.9	58.9	7.1
21.215	0.5	27	1	1.0	322	1	R	1	1.0	25	51164	15.0	n/a	29949	2	RandomLow	21.215	0.5	6.0	52.9	58.9	7.1
21.829	0.5	27	2	2.0	343	1	P	1	1.0	26	51778	n/a	9.0	29949	2	PatternHigh	21.829	0.5	6.0	52.9	58.9	7.1
22.442	0.5	27	2	2.0	237	1	R	1	1.0	27	52391	2.0	n/a	29949	2	RandomLow	22.442	0.5	6.0	52.9	58.9	7.1
23.072	0.5	27	4	2.0	181	0	P	1	1.0	28	53021	n/a	12.0	29949	2	PatternHigh	23.072	0.5	6.0	52.9	58.9	7.1
23.686	0.5	27	4	4.0	485	1	R	1	1.0	29	53635	6.0	n/a	29949	2	RandomHigh	23.686	0.5	6.0	52.9	58.9	7.1
24.316	0.5	27	1	1.0	310	1	P	1	1.0	30	54265	n/a	16.0	29949	2	PatternHigh	24.316	0.5	6.0	52.9	58.9	7.1
24.929	0.5	27	3	3.0	337	1	R	1	1.0	31	54878	9.0	n/a	29949	2	RandomLow	24.929	0.5	6.0	52.9	58.9	7.1
25.543	0.5	27	3	3.0	320	1	P	1	1.0	32	55492	n/a	3.0	29949	2	PatternHigh	25.543	0.5	6.0	52.9	58.9	7.1
26.173	0.5	27	2	2.0	302	1	R	1	1.0	33	56122	13.0	n/a	29949	2	RandomHigh	26.173	0.5	6.0	52.9	58.9	7.1
26.786	0.5	27	2	2.0	266	1	P	1	1.0	34	56735	n/a	6.0	29949	2	PatternHigh	26.786	0.5	6.0	52.9	58.9	7.1
27.416	0.5	27	3	4.0	319	0	R	1	1.0	35	57365	16.0	n/a	29949	2	RandomLow	27.416	0.5	6.0	52.9	58.9	7.1
28.029	0.5	27	4	4.0	326	1	P	1	1.0	36	57978	n/a	9.0	29949	2	PatternHigh	28.029	0.5	6.0	52.9	58.9	7.1
28.643	0.5	27	2	2.0	400	1	R	1	1.0	37	58592	3.0	n/a	29949	2	RandomHigh	28.643	0.5	6.0	52.9	58.9	7.1
29.273	0.5	27	1	1.0	294	1	P	1	1.0	38	59222	n/a	13.0	29949	2	PatternHigh	29.273	0.5	6.0	52.9	58.9	7.1
29.886	0.5	27	4	4.0	362	1	R	1	1.0	39	59835	6.0	n/a	29949	2	RandomHigh	29.886	0.5	6.0	52.9	58.9	7.1
30.5	0.5	27	3	3.0	374	1	P	1	1.0	40	60449	n/a	0.0	29949	2	PatternHigh	30.5	0.5	6.0	52.9	58.9	7.1
31.13	0.5	27	3	3.0	333	1	R	1	1.0	41	61079	10.0	n/a	29949	2	RandomLow	31.13	0.5	6.0	52.9	58.9	7.1
31.743	0.5	27	2	2.0	324	1	P	1	1.0	42	61692	n/a	3.0	29949	2	PatternHigh	31.743	0.5	6.0	52.9	58.9	7.1
32.373	0.5	27	3	3.0	354	1	R	1	1.0	43	62322	13.0	n/a	29949	2	RandomLow	32.373	0.5	6.0	52.9	58.9	7.1
32.987	0.5	27	4	4.0	365	1	P	1	1.0	44	62936	n/a	7.0	29949	2	PatternHigh	32.987	0.5	6.0	52.9	58.9	7.1
