onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.33	0.5	4	4	4.0	402	1	Prac	1	n/a	1	632754	10.0	n/a	626424	1	n/a	6.33	0.5	6.0	52.9	58.9	7.1
6.944	0.5	4	2	2.0	468	1	Prac	1	n/a	2	633368	4.0	n/a	626424	1	n/a	6.944	0.5	6.0	52.9	58.9	7.1
7.574	0.5	4	3	3.0	425	1	Prac	1	n/a	3	633998	14.0	n/a	626424	1	n/a	7.574	0.5	6.0	52.9	58.9	7.1
8.187	0.5	4	4	4.0	402	1	Prac	1	n/a	4	634611	7.0	n/a	626424	1	n/a	8.187	0.5	6.0	52.9	58.9	7.1
8.801	0.5	4	2	2.0	377	1	Prac	1	n/a	5	635225	1.0	n/a	626424	1	n/a	8.801	0.5	6.0	52.9	58.9	7.1
9.431	0.5	4	3	3.0	398	1	Prac	1	n/a	6	635855	11.0	n/a	626424	1	n/a	9.431	0.5	6.0	52.9	58.9	7.1
10.044	0.5	4	3	3.0	405	1	Prac	1	n/a	7	636468	4.0	n/a	626424	1	n/a	10.044	0.5	6.0	52.9	58.9	7.1
10.674	0.5	4	2	2.0	366	1	Prac	1	n/a	8	637098	14.0	n/a	626424	1	n/a	10.674	0.5	6.0	52.9	58.9	7.1
11.288	0.5	4	3	3.0	385	1	Prac	1	n/a	9	637712	8.0	n/a	626424	1	n/a	11.288	0.5	6.0	52.9	58.9	7.1
11.901	0.5	4	4	4.0	393	1	Prac	1	n/a	10	638325	1.0	n/a	626424	1	n/a	11.901	0.5	6.0	52.9	58.9	7.1
12.531	0.5	4	4	4.0	422	1	Prac	1	n/a	11	638955	11.0	n/a	626424	1	n/a	12.531	0.5	6.0	52.9	58.9	7.1
13.144	0.5	4	2	n/a	0	0	Prac	1	n/a	12	639568	4.0	n/a	626424	1	n/a	13.144	0.5	6.0	52.9	58.9	7.1
13.775	0.5	4	1	1.0	435	1	Prac	1	n/a	13	640199	15.0	n/a	626424	1	n/a	13.775	0.5	6.0	52.9	58.9	7.1
14.388	0.5	4	2	2.0	412	1	Prac	1	n/a	14	640812	8.0	n/a	626424	1	n/a	14.388	0.5	6.0	52.9	58.9	7.1
15.001	0.5	4	3	3.0	442	1	Prac	1	n/a	15	641425	1.0	n/a	626424	1	n/a	15.001	0.5	6.0	52.9	58.9	7.1
15.631	0.5	4	1	1.0	447	1	Prac	1	n/a	16	642055	11.0	n/a	626424	1	n/a	15.631	0.5	6.0	52.9	58.9	7.1
16.245	0.5	4	3	3.0	431	1	Prac	1	n/a	17	642669	5.0	n/a	626424	1	n/a	16.245	0.5	6.0	52.9	58.9	7.1
16.875	0.5	4	1	1.0	476	1	Prac	1	n/a	18	643299	15.0	n/a	626424	1	n/a	16.875	0.5	6.0	52.9	58.9	7.1
17.488	0.5	4	3	3.0	428	1	Prac	1	n/a	19	643912	8.0	n/a	626424	1	n/a	17.488	0.5	6.0	52.9	58.9	7.1
18.102	0.5	4	1	1.0	405	1	Prac	1	n/a	20	644526	2.0	n/a	626424	1	n/a	18.102	0.5	6.0	52.9	58.9	7.1
18.732	0.5	4	4	4.0	430	1	Prac	1	n/a	21	645156	12.0	n/a	626424	1	n/a	18.732	0.5	6.0	52.9	58.9	7.1
19.345	0.5	4	3	3.0	383	1	Prac	1	n/a	22	645769	5.0	n/a	626424	1	n/a	19.345	0.5	6.0	52.9	58.9	7.1
19.975	0.5	4	2	2.0	324	1	Prac	1	n/a	23	646399	15.0	n/a	626424	1	n/a	19.975	0.5	6.0	52.9	58.9	7.1
20.589	0.5	4	3	3.0	330	1	Prac	1	n/a	24	647013	9.0	n/a	626424	1	n/a	20.589	0.5	6.0	52.9	58.9	7.1
21.202	0.5	4	4	4.0	341	1	Prac	1	n/a	25	647626	2.0	n/a	626424	1	n/a	21.202	0.5	6.0	52.9	58.9	7.1
21.832	0.5	4	1	1.0	365	1	Prac	1	n/a	26	648256	12.0	n/a	626424	1	n/a	21.832	0.5	6.0	52.9	58.9	7.1
22.445	0.5	4	3	3.0	372	1	Prac	1	n/a	27	648869	5.0	n/a	626424	1	n/a	22.445	0.5	6.0	52.9	58.9	7.1
23.075	0.5	4	2	2.0	328	1	Prac	1	n/a	28	649499	15.0	n/a	626424	1	n/a	23.075	0.5	6.0	52.9	58.9	7.1
23.689	0.5	4	3	3.0	356	1	Prac	1	n/a	29	650113	9.0	n/a	626424	1	n/a	23.689	0.5	6.0	52.9	58.9	7.1
24.302	0.5	4	4	4.0	338	1	Prac	1	n/a	30	650726	2.0	n/a	626424	1	n/a	24.302	0.5	6.0	52.9	58.9	7.1
24.932	0.5	4	4	4.0	360	1	Prac	1	n/a	31	651356	12.0	n/a	626424	1	n/a	24.932	0.5	6.0	52.9	58.9	7.1
25.546	0.5	4	3	3.0	472	1	Prac	1	n/a	32	651970	6.0	n/a	626424	1	n/a	25.546	0.5	6.0	52.9	58.9	7.1
26.176	0.5	4	3	3.0	404	1	Prac	1	n/a	33	652600	16.0	n/a	626424	1	n/a	26.176	0.5	6.0	52.9	58.9	7.1
26.789	0.5	4	3	3.0	396	1	Prac	1	n/a	34	653213	9.0	n/a	626424	1	n/a	26.789	0.5	6.0	52.9	58.9	7.1
27.403	0.5	4	3	3.0	436	1	Prac	1	n/a	35	653827	3.0	n/a	626424	1	n/a	27.403	0.5	6.0	52.9	58.9	7.1
28.033	0.5	4	2	2.0	370	1	Prac	1	n/a	36	654457	13.0	n/a	626424	1	n/a	28.033	0.5	6.0	52.9	58.9	7.1
28.646	0.5	4	1	1.0	400	1	Prac	1	n/a	37	655070	6.0	n/a	626424	1	n/a	28.646	0.5	6.0	52.9	58.9	7.1
29.276	0.5	4	3	3.0	365	1	Prac	1	n/a	38	655700	16.0	n/a	626424	1	n/a	29.276	0.5	6.0	52.9	58.9	7.1
29.889	0.5	4	4	4.0	406	1	Prac	1	n/a	39	656313	9.0	n/a	626424	1	n/a	29.889	0.5	6.0	52.9	58.9	7.1
30.503	0.5	4	1	1.0	398	1	Prac	1	n/a	40	656927	3.0	n/a	626424	1	n/a	30.503	0.5	6.0	52.9	58.9	7.1
31.133	0.5	4	1	1.0	406	1	Prac	1	n/a	41	657557	13.0	n/a	626424	1	n/a	31.133	0.5	6.0	52.9	58.9	7.1
31.746	0.5	4	3	3.0	372	1	Prac	1	n/a	42	658170	6.0	n/a	626424	1	n/a	31.746	0.5	6.0	52.9	58.9	7.1
32.36	0.5	4	3	3.0	355	1	Prac	1	n/a	43	658784	0.0	n/a	626424	1	n/a	32.36	0.5	6.0	52.9	58.9	7.1
32.99	0.5	4	4	4.0	340	1	Prac	1	n/a	44	659414	10.0	n/a	626424	1	n/a	32.99	0.5	6.0	52.9	58.9	7.1
33.603	0.5	4	4	4.0	328	1	Prac	1	n/a	45	660027	3.0	n/a	626424	1	n/a	33.603	0.5	6.0	52.9	58.9	7.1
34.233	0.5	4	1	1.0	374	1	Prac	1	n/a	46	660657	13.0	n/a	626424	1	n/a	34.233	0.5	6.0	52.9	58.9	7.1
34.847	0.5	4	2	2.0	383	1	Prac	1	n/a	47	661271	7.0	n/a	626424	1	n/a	34.847	0.5	6.0	52.9	58.9	7.1
35.46	0.5	4	2	2.0	339	1	Prac	1	n/a	48	661884	0.0	n/a	626424	1	n/a	35.46	0.5	6.0	52.9	58.9	7.1
36.09	0.5	4	3	2.0	329	0	Prac	1	n/a	49	662514	10.0	n/a	626424	1	n/a	36.09	0.5	6.0	52.9	58.9	7.1
36.704	0.5	4	1	1.0	451	1	Prac	1	n/a	50	663128	4.0	n/a	626424	1	n/a	36.704	0.5	6.0	52.9	58.9	7.1
37.334	0.5	4	4	4.0	398	1	Prac	1	n/a	51	663758	14.0	n/a	626424	1	n/a	37.334	0.5	6.0	52.9	58.9	7.1
37.947	0.5	4	2	2.0	376	1	Prac	1	n/a	52	664371	7.0	n/a	626424	1	n/a	37.947	0.5	6.0	52.9	58.9	7.1
38.56	0.5	4	1	1.0	383	1	Prac	1	n/a	53	664984	0.0	n/a	626424	1	n/a	38.56	0.5	6.0	52.9	58.9	7.1
39.19	0.5	4	1	1.0	382	1	Prac	1	n/a	54	665614	10.0	n/a	626424	1	n/a	39.19	0.5	6.0	52.9	58.9	7.1
39.804	0.5	4	3	3.0	460	1	Prac	1	n/a	55	666228	4.0	n/a	626424	1	n/a	39.804	0.5	6.0	52.9	58.9	7.1
40.434	0.5	4	1	1.0	392	1	Prac	1	n/a	56	666858	14.0	n/a	626424	1	n/a	40.434	0.5	6.0	52.9	58.9	7.1
41.047	0.5	4	1	1.0	404	1	Prac	1	n/a	57	667471	7.0	n/a	626424	1	n/a	41.047	0.5	6.0	52.9	58.9	7.1
41.661	0.5	4	1	1.0	387	1	Prac	1	n/a	58	668085	1.0	n/a	626424	1	n/a	41.661	0.5	6.0	52.9	58.9	7.1
42.291	0.5	4	2	2.0	414	1	Prac	1	n/a	59	668715	11.0	n/a	626424	1	n/a	42.291	0.5	6.0	52.9	58.9	7.1
42.904	0.5	4	4	4.0	371	1	Prac	1	n/a	60	669328	4.0	n/a	626424	1	n/a	42.904	0.5	6.0	52.9	58.9	7.1
43.534	0.5	4	2	2.0	279	1	Prac	1	n/a	61	669958	14.0	n/a	626424	1	n/a	43.534	0.5	6.0	52.9	58.9	7.1
44.148	0.5	4	3	3.0	432	1	Prac	1	n/a	62	670572	8.0	n/a	626424	1	n/a	44.148	0.5	6.0	52.9	58.9	7.1
44.761	0.5	4	4	4.0	391	1	Prac	1	n/a	63	671185	1.0	n/a	626424	1	n/a	44.761	0.5	6.0	52.9	58.9	7.1
45.391	0.5	4	2	2.0	376	1	Prac	1	n/a	64	671815	11.0	n/a	626424	1	n/a	45.391	0.5	6.0	52.9	58.9	7.1
46.004	0.5	4	3	3.0	382	1	Prac	1	n/a	65	672428	4.0	n/a	626424	1	n/a	46.004	0.5	6.0	52.9	58.9	7.1
46.634	0.5	4	4	4.0	375	1	Prac	1	n/a	66	673058	14.0	n/a	626424	1	n/a	46.634	0.5	6.0	52.9	58.9	7.1
