onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.341	0.5	30	3	3.0	372	1	Prac	1	1.0	1	39257	13.0	n/a	32916	2	n/a	6.341	0.5	6.0	52.9	58.9	7.1
6.955	0.5	30	3	3.0	301	1	Prac	1	1.0	2	39871	7.0	n/a	32916	2	n/a	6.955	0.5	6.0	52.9	58.9	7.1
7.568	0.5	30	1	3.0	211	0	Prac	1	1.0	3	40484	0.0	n/a	32916	2	n/a	7.568	0.5	6.0	52.9	58.9	7.1
8.198	0.5	30	2	2.0	307	1	Prac	1	1.0	4	41114	10.0	n/a	32916	2	n/a	8.198	0.5	6.0	52.9	58.9	7.1
8.812	0.5	30	3	3.0	266	1	Prac	1	1.0	5	41728	4.0	n/a	32916	2	n/a	8.812	0.5	6.0	52.9	58.9	7.1
9.442	0.5	30	1	1.0	303	1	P	1	1.0	6	42358	n/a	14.0	32916	2	n/a	9.442	0.5	6.0	52.9	58.9	7.1
10.055	0.5	30	4	4.0	330	1	R	1	1.0	7	42971	7.0	n/a	32916	2	n/a	10.055	0.5	6.0	52.9	58.9	7.1
10.669	0.5	30	4	4.0	261	1	P	1	1.0	8	43585	n/a	1.0	32916	2	PatternHigh	10.669	0.5	6.0	52.9	58.9	7.1
11.299	0.5	30	2	4.0	221	0	R	1	1.0	9	44215	11.0	n/a	32916	2	RandomLow	11.299	0.5	6.0	52.9	58.9	7.1
11.912	0.5	30	3	3.0	289	1	P	1	1.0	10	44828	n/a	4.0	32916	2	PatternHigh	11.912	0.5	6.0	52.9	58.9	7.1
12.542	0.5	30	4	4.0	318	1	R	1	1.0	11	45458	14.0	n/a	32916	2	RandomLow	12.542	0.5	6.0	52.9	58.9	7.1
13.156	0.5	30	2	2.0	351	1	P	1	1.0	12	46072	n/a	8.0	32916	2	PatternHigh	13.156	0.5	6.0	52.9	58.9	7.1
