onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.323	0.5	33	3	3.0	472	1	Prac	1	1.0	1	39284	3.0	n/a	32961	2	n/a	6.323	0.5	6.0	52.9	58.9	7.1
6.953	0.5	33	3	3.0	350	1	Prac	1	1.0	2	39914	13.0	n/a	32961	2	n/a	6.953	0.5	6.0	52.9	58.9	7.1
7.566	0.5	33	1	1.0	298	1	Prac	1	1.0	3	40527	6.0	n/a	32961	2	n/a	7.566	0.5	6.0	52.9	58.9	7.1
8.18	0.5	33	2	3.0	341	0	Prac	1	1.0	4	41141	0.0	n/a	32961	2	n/a	8.18	0.5	6.0	52.9	58.9	7.1
8.81	0.5	33	4	4.0	341	1	Prac	1	1.0	5	41771	10.0	n/a	32961	2	n/a	8.81	0.5	6.0	52.9	58.9	7.1
9.423	0.5	33	2	2.0	331	1	P	1	1.0	6	42384	n/a	3.0	32961	2	n/a	9.423	0.5	6.0	52.9	58.9	7.1
10.053	0.5	33	1	1.0	407	1	R	1	1.0	7	43014	13.0	n/a	32961	2	n/a	10.053	0.5	6.0	52.9	58.9	7.1
10.667	0.5	33	3	3.0	340	1	P	1	1.0	8	43628	n/a	7.0	32961	2	PatternHigh	10.667	0.5	6.0	52.9	58.9	7.1
11.28	0.5	33	3	3.0	293	1	R	1	1.0	9	44241	0.0	n/a	32961	2	RandomLow	11.28	0.5	6.0	52.9	58.9	7.1
11.91	0.5	33	1	1.0	295	1	P	1	1.0	10	44871	n/a	10.0	32961	2	PatternHigh	11.91	0.5	6.0	52.9	58.9	7.1
12.524	0.5	33	3	4.0	382	0	R	1	1.0	11	45485	4.0	n/a	32961	2	RandomLow	12.524	0.5	6.0	52.9	58.9	7.1
13.154	0.5	33	4	4.0	325	1	P	1	1.0	12	46115	n/a	14.0	32961	2	PatternHigh	13.154	0.5	6.0	52.9	58.9	7.1
13.767	0.5	33	4	4.0	397	1	R	1	1.0	13	46728	7.0	n/a	32961	2	RandomLow	13.767	0.5	6.0	52.9	58.9	7.1
14.38	0.5	33	2	2.0	339	1	P	1	1.0	14	47341	n/a	0.0	32961	2	PatternHigh	14.38	0.5	6.0	52.9	58.9	7.1
15.01	0.5	33	2	2.0	243	1	R	1	1.0	15	47971	10.0	n/a	32961	2	RandomHigh	15.01	0.5	6.0	52.9	58.9	7.1
15.624	0.5	33	3	3.0	318	1	P	1	1.0	16	48585	n/a	4.0	32961	2	PatternHigh	15.624	0.5	6.0	52.9	58.9	7.1
16.254	0.5	33	4	4.0	349	1	R	1	1.0	17	49215	14.0	n/a	32961	2	RandomLow	16.254	0.5	6.0	52.9	58.9	7.1
16.867	0.5	33	1	1.0	328	1	P	1	1.0	18	49828	n/a	7.0	32961	2	PatternHigh	16.867	0.5	6.0	52.9	58.9	7.1
17.481	0.5	33	1	1.0	303	1	R	1	1.0	19	50442	1.0	n/a	32961	2	RandomLow	17.481	0.5	6.0	52.9	58.9	7.1
18.111	0.5	33	4	4.0	316	1	P	1	1.0	20	51072	n/a	11.0	32961	2	PatternHigh	18.111	0.5	6.0	52.9	58.9	7.1
18.724	0.5	33	1	1.0	363	1	R	1	1.0	21	51685	4.0	n/a	32961	2	RandomLow	18.724	0.5	6.0	52.9	58.9	7.1
19.354	0.5	33	2	2.0	359	1	P	1	1.0	22	52315	n/a	14.0	32961	2	PatternHigh	19.354	0.5	6.0	52.9	58.9	7.1
19.968	0.5	33	1	1.0	343	1	R	1	1.0	23	52929	8.0	n/a	32961	2	RandomLow	19.968	0.5	6.0	52.9	58.9	7.1
20.581	0.5	33	3	3.0	358	1	P	1	1.0	24	53542	n/a	1.0	32961	2	PatternHigh	20.581	0.5	6.0	52.9	58.9	7.1
21.211	0.5	33	3	3.0	321	1	R	1	1.0	25	54172	11.0	n/a	32961	2	RandomLow	21.211	0.5	6.0	52.9	58.9	7.1
21.824	0.5	33	1	1.0	319	1	P	1	1.0	26	54785	n/a	4.0	32961	2	PatternHigh	21.824	0.5	6.0	52.9	58.9	7.1
22.454	0.5	33	3	4.0	333	0	R	1	1.0	27	55415	14.0	n/a	32961	2	RandomLow	22.454	0.5	6.0	52.9	58.9	7.1
23.068	0.5	33	4	4.0	332	1	P	1	1.0	28	56029	n/a	8.0	32961	2	PatternHigh	23.068	0.5	6.0	52.9	58.9	7.1
23.681	0.5	33	3	3.0	414	1	R	1	1.0	29	56642	1.0	n/a	32961	2	RandomLow	23.681	0.5	6.0	52.9	58.9	7.1
24.311	0.5	33	2	2.0	309	1	P	1	1.0	30	57272	n/a	11.0	32961	2	PatternHigh	24.311	0.5	6.0	52.9	58.9	7.1
24.925	0.5	33	1	1.0	302	1	R	1	1.0	31	57886	5.0	n/a	32961	2	RandomHigh	24.925	0.5	6.0	52.9	58.9	7.1
25.555	0.5	33	3	3.0	398	1	P	1	1.0	32	58516	n/a	15.0	32961	2	PatternHigh	25.555	0.5	6.0	52.9	58.9	7.1
26.168	0.5	33	1	1.0	324	1	R	1	1.0	33	59129	8.0	n/a	32961	2	RandomLow	26.168	0.5	6.0	52.9	58.9	7.1
26.782	0.5	33	1	1.0	300	1	P	1	1.0	34	59743	n/a	2.0	32961	2	PatternHigh	26.782	0.5	6.0	52.9	58.9	7.1
