onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.315	0.5	19	3	3.0	346	1	Prac	1	1.0	1	31813	3.0	n/a	25498	3	n/a	6.315	0.5	6.0	52.9	58.9	7.1
6.945	0.5	19	1	1.0	317	1	Prac	1	1.0	2	32443	13.0	n/a	25498	3	n/a	6.945	0.5	6.0	52.9	58.9	7.1
7.559	0.5	19	2	2.0	332	1	Prac	1	1.0	3	33057	7.0	n/a	25498	3	n/a	7.559	0.5	6.0	52.9	58.9	7.1
8.172	0.5	19	4	4.0	373	1	Prac	1	1.0	4	33670	0.0	n/a	25498	3	n/a	8.172	0.5	6.0	52.9	58.9	7.1
8.802	0.5	19	1	1.0	306	1	Prac	1	1.0	5	34300	10.0	n/a	25498	3	n/a	8.802	0.5	6.0	52.9	58.9	7.1
9.416	0.5	19	4	4.0	309	1	P	1	1.0	6	34914	n/a	4.0	25498	3	n/a	9.416	0.5	6.0	52.9	58.9	7.1
10.046	0.5	19	4	4.0	286	1	R	1	1.0	7	35544	14.0	n/a	25498	3	n/a	10.046	0.5	6.0	52.9	58.9	7.1
10.659	0.5	19	1	1.0	290	1	P	1	1.0	8	36157	n/a	7.0	25498	3	PatternHigh	10.659	0.5	6.0	52.9	58.9	7.1
11.272	0.5	19	1	1.0	249	1	R	1	1.0	9	36770	0.0	n/a	25498	3	RandomHigh	11.272	0.5	6.0	52.9	58.9	7.1
11.902	0.5	19	2	2.0	314	1	P	1	1.0	10	37400	n/a	10.0	25498	3	PatternHigh	11.902	0.5	6.0	52.9	58.9	7.1
12.516	0.5	19	4	4.0	365	1	R	1	1.0	11	38014	4.0	n/a	25498	3	RandomLow	12.516	0.5	6.0	52.9	58.9	7.1
13.146	0.5	19	3	3.0	302	1	P	1	1.0	12	38644	n/a	14.0	25498	3	PatternHigh	13.146	0.5	6.0	52.9	58.9	7.1
13.759	0.5	19	4	4.0	354	1	R	1	1.0	13	39257	7.0	n/a	25498	3	RandomLow	13.759	0.5	6.0	52.9	58.9	7.1
14.373	0.5	19	4	4.0	340	1	P	1	1.0	14	39871	n/a	1.0	25498	3	PatternHigh	14.373	0.5	6.0	52.9	58.9	7.1
15.003	0.5	19	2	2.0	315	1	R	1	1.0	15	40501	11.0	n/a	25498	3	RandomLow	15.003	0.5	6.0	52.9	58.9	7.1
15.616	0.5	19	1	1.0	290	1	P	1	1.0	16	41114	n/a	4.0	25498	3	PatternHigh	15.616	0.5	6.0	52.9	58.9	7.1
16.246	0.5	19	2	2.0	331	1	R	1	1.0	17	41744	14.0	n/a	25498	3	RandomLow	16.246	0.5	6.0	52.9	58.9	7.1
16.86	0.5	19	2	2.0	420	1	P	1	1.0	18	42358	n/a	8.0	25498	3	PatternHigh	16.86	0.5	6.0	52.9	58.9	7.1
17.473	0.5	19	1	1.0	282	1	R	1	1.0	19	42971	1.0	n/a	25498	3	RandomLow	17.473	0.5	6.0	52.9	58.9	7.1
18.103	0.5	19	3	3.0	326	1	P	1	1.0	20	43601	n/a	11.0	25498	3	PatternHigh	18.103	0.5	6.0	52.9	58.9	7.1
18.717	0.5	19	3	n/a	0	0	R	1	1.0	21	44215	5.0	n/a	25498	3	RandomLow	18.717	0.5	6.0	52.9	58.9	7.1
19.347	0.5	19	4	3.0	147	0	P	1	1.0	22	44845	n/a	15.0	25498	3	PatternHigh	19.347	0.5	6.0	52.9	58.9	7.1
19.96	0.5	19	1	1.0	408	1	R	1	1.0	23	45458	8.0	n/a	25498	3	RandomLow	19.96	0.5	6.0	52.9	58.9	7.1
20.573	0.5	19	1	1.0	435	1	P	1	1.0	24	46071	n/a	1.0	25498	3	PatternHigh	20.573	0.5	6.0	52.9	58.9	7.1
21.203	0.5	19	4	4.0	330	1	R	1	1.0	25	46701	11.0	n/a	25498	3	RandomLow	21.203	0.5	6.0	52.9	58.9	7.1
21.817	0.5	19	2	2.0	297	1	P	1	1.0	26	47315	n/a	5.0	25498	3	PatternHigh	21.817	0.5	6.0	52.9	58.9	7.1
22.447	0.5	19	3	3.0	289	1	R	1	1.0	27	47945	15.0	n/a	25498	3	RandomLow	22.447	0.5	6.0	52.9	58.9	7.1
23.06	0.5	19	3	3.0	409	1	P	1	1.0	28	48558	n/a	8.0	25498	3	PatternHigh	23.06	0.5	6.0	52.9	58.9	7.1
23.674	0.5	19	2	1.0	260	0	R	1	1.0	29	49172	2.0	n/a	25498	3	RandomLow	23.674	0.5	6.0	52.9	58.9	7.1
24.304	0.5	19	4	4.0	320	1	P	1	1.0	30	49802	n/a	12.0	25498	3	PatternHigh	24.304	0.5	6.0	52.9	58.9	7.1
24.917	0.5	19	2	2.0	264	1	R	1	1.0	31	50415	5.0	n/a	25498	3	RandomLow	24.917	0.5	6.0	52.9	58.9	7.1
25.547	0.5	19	1	1.0	302	1	P	1	1.0	32	51045	n/a	15.0	25498	3	PatternHigh	25.547	0.5	6.0	52.9	58.9	7.1
26.161	0.5	19	3	3.0	363	1	R	1	1.0	33	51659	9.0	n/a	25498	3	RandomHigh	26.161	0.5	6.0	52.9	58.9	7.1
26.774	0.5	19	2	2.0	340	1	P	1	1.0	34	52272	n/a	2.0	25498	3	PatternHigh	26.774	0.5	6.0	52.9	58.9	7.1
27.404	0.5	19	3	3.0	353	1	R	1	1.0	35	52902	12.0	n/a	25498	3	RandomLow	27.404	0.5	6.0	52.9	58.9	7.1
28.017	0.5	19	3	3.0	346	1	P	1	1.0	36	53515	n/a	5.0	25498	3	PatternHigh	28.017	0.5	6.0	52.9	58.9	7.1
28.647	0.5	19	1	1.0	303	1	R	1	1.0	37	54145	15.0	n/a	25498	3	RandomLow	28.647	0.5	6.0	52.9	58.9	7.1
29.261	0.5	19	4	4.0	316	1	P	1	1.0	38	54759	n/a	9.0	25498	3	PatternHigh	29.261	0.5	6.0	52.9	58.9	7.1
