onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.328	0.5	31	4	4.0	363	1	Prac	1	1.0	1	40265	8.0	n/a	33937	2	n/a	6.328	0.5	6.0	52.9	58.9	7.1
6.941	0.5	31	2	2.0	371	1	Prac	1	1.0	2	40878	1.0	n/a	33937	2	n/a	6.941	0.5	6.0	52.9	58.9	7.1
7.571	0.5	31	4	4.0	394	1	Prac	1	1.0	3	41508	11.0	n/a	33937	2	n/a	7.571	0.5	6.0	52.9	58.9	7.1
8.185	0.5	31	3	3.0	371	1	Prac	1	1.0	4	42122	5.0	n/a	33937	2	n/a	8.185	0.5	6.0	52.9	58.9	7.1
8.815	0.5	31	2	2.0	335	1	Prac	1	1.0	5	42752	15.0	n/a	33937	2	n/a	8.815	0.5	6.0	52.9	58.9	7.1
9.428	0.5	31	2	2.0	306	1	P	1	1.0	6	43365	n/a	8.0	33937	2	n/a	9.428	0.5	6.0	52.9	58.9	7.1
10.042	0.5	31	1	1.0	375	1	R	1	1.0	7	43979	2.0	n/a	33937	2	n/a	10.042	0.5	6.0	52.9	58.9	7.1
10.672	0.5	31	1	1.0	298	1	P	1	1.0	8	44609	n/a	12.0	33937	2	PatternHigh	10.672	0.5	6.0	52.9	58.9	7.1
11.285	0.5	31	3	3.0	331	1	R	1	1.0	9	45222	5.0	n/a	33937	2	RandomHigh	11.285	0.5	6.0	52.9	58.9	7.1
11.915	0.5	31	3	3.0	455	1	P	1	1.0	10	45852	n/a	15.0	33937	2	PatternHigh	11.915	0.5	6.0	52.9	58.9	7.1
12.529	0.5	31	2	2.0	322	1	R	1	1.0	11	46466	9.0	n/a	33937	2	RandomLow	12.529	0.5	6.0	52.9	58.9	7.1
13.142	0.5	31	4	4.0	364	1	P	1	1.0	12	47079	n/a	2.0	33937	2	PatternHigh	13.142	0.5	6.0	52.9	58.9	7.1
13.772	0.5	31	3	3.0	341	1	R	1	1.0	13	47709	12.0	n/a	33937	2	RandomLow	13.772	0.5	6.0	52.9	58.9	7.1
14.385	0.5	31	2	2.0	306	1	P	1	1.0	14	48322	n/a	5.0	33937	2	PatternHigh	14.385	0.5	6.0	52.9	58.9	7.1
15.015	0.5	31	4	4.0	334	1	R	1	1.0	15	48952	15.0	n/a	33937	2	RandomHigh	15.015	0.5	6.0	52.9	58.9	7.1
