onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.32	0.5	23	4	4.0	300	1	Prac	1	1.0	1	32325	0.0	n/a	26005	3	n/a	6.32	0.5	6.0	52.9	58.9	7.1
6.95	0.5	23	1	4.0	185	0	Prac	1	1.0	2	32955	10.0	n/a	26005	3	n/a	6.95	0.5	6.0	52.9	58.9	7.1
7.563	0.5	23	3	3.0	284	1	Prac	1	1.0	3	33568	3.0	n/a	26005	3	n/a	7.563	0.5	6.0	52.9	58.9	7.1
8.193	0.5	23	4	4.0	252	1	Prac	1	1.0	4	34198	13.0	n/a	26005	3	n/a	8.193	0.5	6.0	52.9	58.9	7.1
8.807	0.5	23	4	4.0	183	1	Prac	1	1.0	5	34812	7.0	n/a	26005	3	n/a	8.807	0.5	6.0	52.9	58.9	7.1
9.42	0.5	23	4	4.0	226	1	P	1	1.0	6	35425	n/a	0.0	26005	3	n/a	9.42	0.5	6.0	52.9	58.9	7.1
10.05	0.5	23	2	4.0	195	0	R	1	1.0	7	36055	10.0	n/a	26005	3	n/a	10.05	0.5	6.0	52.9	58.9	7.1
10.664	0.5	23	3	3.0	266	1	P	1	1.0	8	36669	n/a	4.0	26005	3	PatternHigh	10.664	0.5	6.0	52.9	58.9	7.1
11.294	0.5	23	3	3.0	186	1	R	1	1.0	9	37299	14.0	n/a	26005	3	RandomLow	11.294	0.5	6.0	52.9	58.9	7.1
11.907	0.5	23	1	3.0	185	0	P	1	1.0	10	37912	n/a	7.0	26005	3	PatternHigh	11.907	0.5	6.0	52.9	58.9	7.1
12.521	0.5	23	3	3.0	281	1	R	1	1.0	11	38526	1.0	n/a	26005	3	RandomLow	12.521	0.5	6.0	52.9	58.9	7.1
13.151	0.5	23	2	2.0	269	1	P	1	1.0	12	39156	n/a	11.0	26005	3	PatternHigh	13.151	0.5	6.0	52.9	58.9	7.1
13.764	0.5	23	2	2.0	215	1	R	1	1.0	13	39769	4.0	n/a	26005	3	RandomLow	13.764	0.5	6.0	52.9	58.9	7.1
14.394	0.5	23	4	4.0	283	1	P	1	1.0	14	40399	n/a	14.0	26005	3	PatternHigh	14.394	0.5	6.0	52.9	58.9	7.1
15.007	0.5	23	4	4.0	223	1	R	1	1.0	15	41012	7.0	n/a	26005	3	RandomHigh	15.007	0.5	6.0	52.9	58.9	7.1
15.621	0.5	23	3	3.0	294	1	P	1	1.0	16	41626	n/a	1.0	26005	3	PatternHigh	15.621	0.5	6.0	52.9	58.9	7.1
16.251	0.5	23	2	2.0	390	1	R	1	1.0	17	42256	11.0	n/a	26005	3	RandomLow	16.251	0.5	6.0	52.9	58.9	7.1
16.864	0.5	23	1	1.0	275	1	P	1	1.0	18	42869	n/a	4.0	26005	3	PatternHigh	16.864	0.5	6.0	52.9	58.9	7.1
17.494	0.5	23	4	4.0	299	1	R	1	1.0	19	43499	14.0	n/a	26005	3	RandomHigh	17.494	0.5	6.0	52.9	58.9	7.1
18.108	0.5	23	2	2.0	262	1	P	1	1.0	20	44113	n/a	8.0	26005	3	PatternHigh	18.108	0.5	6.0	52.9	58.9	7.1
