onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.338	0.5	34	4	4.0	422	1	Prac	1	n/a	1	642871	10.0	n/a	636533	1	n/a	6.338	0.5	6.0	52.9	58.9	7.1
6.951	0.5	34	2	n/a	0	0	Prac	1	n/a	2	643484	3.0	n/a	636533	1	n/a	6.951	0.5	6.0	52.9	58.9	7.1
7.581	0.5	34	2	2.0	382	1	Prac	1	n/a	3	644114	13.0	n/a	636533	1	n/a	7.581	0.5	6.0	52.9	58.9	7.1
8.195	0.5	34	4	4.0	420	1	Prac	1	n/a	4	644728	7.0	n/a	636533	1	n/a	8.195	0.5	6.0	52.9	58.9	7.1
8.808	0.5	34	2	1.0	375	0	Prac	1	n/a	5	645341	0.0	n/a	636533	1	n/a	8.808	0.5	6.0	52.9	58.9	7.1
9.438	0.5	34	1	n/a	0	0	Prac	1	n/a	6	645971	10.0	n/a	636533	1	n/a	9.438	0.5	6.0	52.9	58.9	7.1
10.052	0.5	34	3	3.0	410	1	Prac	1	n/a	7	646585	4.0	n/a	636533	1	n/a	10.052	0.5	6.0	52.9	58.9	7.1
10.682	0.5	34	1	1.0	425	1	Prac	1	n/a	8	647215	14.0	n/a	636533	1	n/a	10.682	0.5	6.0	52.9	58.9	7.1
11.295	0.5	34	3	3.0	484	1	Prac	1	n/a	9	647828	7.0	n/a	636533	1	n/a	11.295	0.5	6.0	52.9	58.9	7.1
11.909	0.5	34	1	1.0	424	1	Prac	1	n/a	10	648442	1.0	n/a	636533	1	n/a	11.909	0.5	6.0	52.9	58.9	7.1
12.539	0.5	34	4	4.0	479	1	Prac	1	n/a	11	649072	11.0	n/a	636533	1	n/a	12.539	0.5	6.0	52.9	58.9	7.1
13.152	0.5	34	2	2.0	371	1	Prac	1	n/a	12	649685	4.0	n/a	636533	1	n/a	13.152	0.5	6.0	52.9	58.9	7.1
13.782	0.5	34	1	1.0	400	1	Prac	1	n/a	13	650315	14.0	n/a	636533	1	n/a	13.782	0.5	6.0	52.9	58.9	7.1
14.395	0.5	34	4	4.0	383	1	Prac	1	n/a	14	650928	7.0	n/a	636533	1	n/a	14.395	0.5	6.0	52.9	58.9	7.1
15.009	0.5	34	3	3.0	319	1	Prac	1	n/a	15	651542	1.0	n/a	636533	1	n/a	15.009	0.5	6.0	52.9	58.9	7.1
15.639	0.5	34	1	1.0	433	1	Prac	1	n/a	16	652172	11.0	n/a	636533	1	n/a	15.639	0.5	6.0	52.9	58.9	7.1
16.252	0.5	34	2	2.0	445	1	Prac	1	n/a	17	652785	4.0	n/a	636533	1	n/a	16.252	0.5	6.0	52.9	58.9	7.1
16.882	0.5	34	1	1.0	429	1	Prac	1	n/a	18	653415	14.0	n/a	636533	1	n/a	16.882	0.5	6.0	52.9	58.9	7.1
17.496	0.5	34	4	4.0	411	1	Prac	1	n/a	19	654029	8.0	n/a	636533	1	n/a	17.496	0.5	6.0	52.9	58.9	7.1
18.109	0.5	34	1	1.0	438	1	Prac	1	n/a	20	654642	1.0	n/a	636533	1	n/a	18.109	0.5	6.0	52.9	58.9	7.1
18.739	0.5	34	2	2.0	406	1	Prac	1	n/a	21	655272	11.0	n/a	636533	1	n/a	18.739	0.5	6.0	52.9	58.9	7.1
19.353	0.5	34	1	1.0	375	1	Prac	1	n/a	22	655886	5.0	n/a	636533	1	n/a	19.353	0.5	6.0	52.9	58.9	7.1
19.983	0.5	34	4	4.0	344	1	Prac	1	n/a	23	656516	15.0	n/a	636533	1	n/a	19.983	0.5	6.0	52.9	58.9	7.1
20.596	0.5	34	3	3.0	418	1	Prac	1	n/a	24	657129	8.0	n/a	636533	1	n/a	20.596	0.5	6.0	52.9	58.9	7.1
21.209	0.5	34	1	1.0	313	1	Prac	1	n/a	25	657742	1.0	n/a	636533	1	n/a	21.209	0.5	6.0	52.9	58.9	7.1
